"","my.paths","FPD2","SES.FPD2"
"1","Acanthacris_ruficornis",233.754919,-0.567299561537193
"2","Achatina_fulica",270.575280015625,0.271800439276018
"3","Acoloithus_falsarius",NA,NA
"4","Adoretus_sinicus",276.085957571429,0.53024589500413
"5","Agriotes_lineatus",278.4629355,0.668970291293574
"6","Agrotis_segetum",262.582831813953,-0.705886693383031
"7","Albonectria_rigidiuscula",267.048395380952,-0.154161299339161
"8","Aleurocanthus_spiniferus",236.70024625,-1.05291911878676
"9","Alfalfa_mosaic_virus",236.2514750625,-3.00414231908885
"10","Alternaria_alternata",264.835862310345,-1.07374353567379
"11","Altica_ampelophaga",NA,NA
"12","Amaranthus_blitum",268.687615333333,0.0201646229655411
"13","Ameroseius_pavidus",NA,NA
"14","Ametastegia",236.700247,-0.755191653327425
"15","Ampelophaga_rubiginosa",0.594936,-4.16798045070074
"16","Amphicerus_bicaudatus",NA,NA
"17","Amphicerus_bimaculatus",NA,NA
"18","Amyelois_transitella",234.631292666667,-0.941040461977145
"19","Anacridium_rubrispinum",376.566487,1.76103936384504
"20","Anagallis_arvensis",274.979348172414,0.517033779570073
"21","Anastrepha_fraterculus",248.175178153846,-2.21245713366078
"22","Anomala_cuprea",236.700246,-0.727528607481845
"23","Anomala_dubia",NA,NA
"24","Antispila_oinophylla",NA,NA
"25","Anystis_baccarum",233.75492,-0.571657425402583
"26","Aonidiella_aurantii",262.6167092,-0.679622246843584
"27","Aonidiella_inornata",282.013292888889,0.66610230457142
"28","Aonidiella_orientalis",253.397473477273,-1.63348860997191
"29","Apate_monachus",255.5576692,-1.02072674745626
"30","Aphis_fabae",247.228074066667,-1.89658362856619
"31","Aphis_gossypii",257.526806822581,-1.49547614036673
"32","Aphis_illinoisensis",NA,NA
"33","Aphis_spiraecola",255.317196107143,-1.14975481186237
"34","Arabis_mosaic_virus",251.639754333333,-1.17087377763418
"35","Arboridia_adanae",NA,NA
"36","Arboridia_kakogowana",NA,NA
"37","Argyrotaenia_ljungiana",235.069479333333,-0.994863832244861
"38","Armillaria_luteobubalina",247.185392833333,-1.23546310220641
"39","Armillaria_mellea",249.862245840909,-3.148983491578
"40","Artichoke_Italian_latent_virus",238.3310135,-0.696504832837764
"41","Aspergillus_niger",261.17994462069,-1.3782889004715
"42","Aspidiotus_destructor",283.292188803571,1.87433302668171
"43","Aspidiotus_ligusticus",NA,NA
"44","Aspidiotus_nerii",259.026933738095,-1.13031287379759
"45","Asterococcus_muratae",236.7002465,-0.9909458981655
"46","Asymmetrasca_decedens",235.356079333333,-1.63664137851544
"47","Autographa_gamma",250.71849185,-1.28620304979007
"48","Bactrocera_tryoni",246.915113236842,-3.29628647724806
"49","Botryosphaeria_dothidea",236.126370037736,-4.10843393963575
"50","Botryosphaeria_obtusa",239.123018108696,-3.40467989550399
"51","Botryosphaeria_parva",248.432304757576,-1.89748068192388
"52","Botryosphaeria_stevensii",246.989367913043,-1.71348728026319
"53","Botryotinia_fuckeliana",254.787943885057,-3.63506259736885
"54","Botryotinia_pseudofuckeliana",236.805649666667,-0.880400969069351
"55","Botrytis_prunorum",236.156657666667,-0.970061154023376
"56","Botrytis_pseudocinerea",236.805649666667,-0.838890383824353
"57","Brevipalpus_californicus",236.091692285714,-1.32409662683314
"58","Brevipalpus_chilensis",256.53056,-0.505595223363101
"59","Brevipalpus_lewisi",234.017833,-1.35230711323283
"60","Broad_bean_wilt_virus",236.656840695652,-2.5932720738263
"61","Bromus_tectorum",341.19223425,2.39024230823181
"62","Cactodera_milleri",238.331012,-0.475600075697111
"63","Cadra_figulilella",376.566485,1.76588657419838
"64","Calepitrimerus_vitis",NA,NA
"65","Campylocarpon_fasciculare",NA,NA
"66","Candidatus_Phytoplasma_asteris",264.151702723684,-0.686304778577384
"67","Candidatus_Phytoplasma_australiense",235.720543125,-1.45287334023482
"68","Candidatus_Phytoplasma_solani",250.30287985,-1.92934611225422
"69","Carnation_ringspot_virus",235.06947975,-1.12693578331716
"70","Ceratitis_capitata",246.398620487805,-3.4840210446391
"71","Ceratitis_rosa",250.88300355102,-2.13728856000162
"72","Ceresa_alta",235.069479,-1.26536896266611
"73","Ceroplastes_actiniformis",321.26272875,2.42718266309219
"74","Ceroplastes_cirripediformis",251.44735884,-1.43206089602531
"75","Ceroplastes_rusci",267.934528451613,-0.0630562812036226
"76","Ceroplastes_sinensis",234.412202,-1.08978017301812
"77","Cerosterna_scabrator",NA,NA
"78","Chaetocnema_confinis",264.3789624,-0.353362297411691
"79","Cherry_leaf_roll_virus",236.3740938,-1.12732365164123
"80","Chinavia_hilaris",248.730811619048,-1.50588674608067
"81","Chlidaspis_asiatica",235.0694795,-1.58677657514384
"82","Chorizococcus_viticola",NA,NA
"83","Chrysomphalus_aonidum",266.901782738095,-0.207292007314564
"84","Chrysomphalus_dictyospermi",272.094327764706,0.394665245973948
"85","Chrysomphalus_pinnulifer",264.910310538462,-0.220606506716202
"86","Cirsium_arvense",267.923319333333,-0.0478176196845795
"87","Cirsium_vulgare",305.769258285714,2.17259149230432
"88","Citrus_exocortis_viroid",236.20728825,-1.49536052181974
"89","Clematis_vitalba",NA,NA
"90","clover_phyllody_phytoplasma",236.700247,-0.698416364406257
"91","Cnephasia_longana",NA,NA
"92","Coccus_hesperidum_hesperidum",256.900692557143,-1.69430064147167
"93","Coccus_longulus",269.861064619048,0.132831414533559
"94","Coccus_microogenes",NA,NA
"95","Colaspis_caligula",NA,NA
"96","Colletotrichum_acutatum",242.794270803279,-3.46034558872724
"97","Colletotrichum_capsici",255.414272464286,-2.04316616785419
"98","Colletotrichum_nymphaeae",235.7600690625,-2.11222155339368
"99","Colomerus_vitis",238.331013,-0.693401294924454
"100","Commelina_benghalensis",268.046493384615,-0.0352312528746186
"101","Commelina_diffusa",310.401436733333,2.64470930337982
"102","Comstockaspis_perniciosa",239.600716235294,-2.78268129976692
"103","Coniella_diplodiella",157.39986,-3.22190661978324
"104","Coniella_petrakii",NA,NA
"105","Conogethes_punctiferalis",273.266663055556,0.355781963684622
"106","Conotrachelus_nenuphar",214.599367636364,-2.95603180370528
"107","Conyza_bonariensis",292.5152871,1.24147460511392
"108","Conyza_canadensis",289.163262,1.627691307474
"109","Cornu_aspersum",267.462868863636,-0.112786194159256
"110","Costelytra_zealandica",283.322326,0.409900283340703
"111","Cotinis_nitida",235.069479,-0.755239202509572
"112","Crenulaspidiotus_lahillei",235.069479,-0.55009725330499
"113","Criconema_mutabile",270.133358,0.101211385004448
"114","Criconema_permistum",NA,NA
"115","Criconemella",281.596449666667,0.954596989889273
"116","Criconemella_xenoplax",235.069479,-0.745729509941318
"117","Criconemoides_sp.",277.716339047619,0.931798045306656
"118","Crocidosema_plebejana",234.41219875,-1.08841844585909
"119","Crypticerya_palmeri",NA,NA
"120","Cryptinglisia_lounsburyi",NA,NA
"121","Ctenopseustis_obliquana",235.8848635,-1.05947297959151
"122","Cucumber_mosaic_virus",251.406332453125,-2.34805531331903
"123","Cylindrocarpon_liriodendri",261.61151,-0.240970571477649
"124","Cylindrocarpon_olidum",306.633366,1.27790084347104
"125","Cylindrocarpon_olidum_var. crassum",NA,NA
"126","Cylindrocladiella_lageniformis",NA,NA
"127","Cylindrocladiella_parva",287.614351363636,0.970143863913863
"128","Cylindrocladium_peruvianum",253.651041125,-0.709844100808952
"129","Dactylonectria_pauciseptata",277.131841,0.178822382723609
"130","Datura_stramonium",292.232952066667,1.54185074818683
"131","Deilephila_elpenor",NA,NA
"132","Diabrotica_speciosa",264.2816131,-0.342282132697405
"133","Diaporthe_ambigua",236.372988333333,-1.59275365787611
"134","Diaporthe_eres",238.767124772727,-3.28943145951132
"135","Diaporthe_gulyae",236.70025,-0.771151682973248
"136","Diaporthe_helianthi",238.331015,-0.901696212903805
"137","Diaporthe_medusaea",249.119597263158,-1.38162403051835
"138","Diaspidiotus_osborni",238.331013,-0.514519028367733
"139","Diaspidiotus_uvae",260.3068966,-0.292172626676641
"140","Diaspidiotus_viticola",NA,NA
"141","Dikrella_cockerellii",NA,NA
"142","Dimargarodes_meridionalis",NA,NA
"143","Diplodia_africana",235.069479,-0.494671721674625
"144","Diplodia_corticola",NA,NA
"145","Diplodia_olivarum",235.88486275,-1.04068363499148
"146","Ditylenchus_dipsaci",270.430383051282,0.304693510014183
"147","Ditylenchus_sp.",288.965260615385,1.12452550423424
"148","Dociostaurus_maroccanus",269.628512238095,0.0279500715728114
"149","Drepanothrips_reuteri",NA,NA
"150","Drosophila_melanogaster",234.193107333333,-0.998179658176409
"151","Drosophila_simulans",233.7549225,-0.751196683994875
"152","Drosophila_suzukii",236.2103951875,-2.10581184412931
"153","Duplaspidiotus_fossor",NA,NA
"154","Duplaspidiotus_tesseratus",234.631295333333,-0.943897604959734
"155","Dysmicoccus_brevipes",282.273259035714,1.70095940267096
"156","Dysmicoccus_umbambae",235.06948,-0.550563014469924
"157","Edwardsiana_rosae",235.069479,-0.584226903339627
"158","Eleusine_indica",300.156304727273,1.66499213797095
"159","Elsinoë_ampelina",235.069482,-0.553904256979182
"160","Emex_australis",277.045277333333,0.658978341134702
"161","Empoasca_decipiens",243.784878526316,-1.7771551319411
"162","Empoasca_solani",238.3310155,-0.686029821887622
"163","Empoasca_vitis",238.3310145,-0.736406252116757
"164","Endoclita_signifer",235.069482,-0.494850953105855
"165","Eotetranychus_carpini",235.0694795,-0.801528446314989
"166","Eotetranychus_carpini_vitis",NA,NA
"167","Eotetranychus_pruni",235.0694795,-0.717575695405443
"168","Eotetranychus_willamettei",NA,NA
"169","Epicoccum_nigrum",282.35547488,1.94067108516038
"170","Epiphyas_postvittana",239.175592125,-2.78554788992095
"171","Eragrostis_cilianensis",268.325222888889,-0.0247908255769468
"172","Erysiphe_necator",141.962195,-4.63728889406479
"173","Erythroneura_comes",NA,NA
"174","Erythroneura_elegantula",NA,NA
"175","Erythroneura_variabilis",NA,NA
"176","Erythroneura_ziczac",NA,NA
"177","Eudocima_fullonia",245.763236027027,-2.37465193594659
"178","Eulecanium_tiliae",235.0694795,-2.05949758305687
"179","Euphorbia_helioscopia",294.841949083333,1.4423150925519
"180","Euphorbia_hirta",284.53148637931,1.41359442331091
"181","Eupoecilia_ambiguella",235.162087,-0.88405482247988
"182","Euproctis_chrysorrhoea",235.0694795,-1.60228981375499
"183","Eurhizococcus_brasiliensis",236.154815851852,-2.75747356308569
"184","Euseius_scutalis",NA,NA
"185","Eutypa_lata",235.361752,-2.85306325490728
"186","Ferrisia_cristinae",361.256565,1.44500641867067
"187","Ferrisia_gilli",235.5562235,-1.02854291378242
"188","Ferrisia_virgata",276.780457409091,1.11785681358035
"189","Fidia_viticida",NA,NA
"190","Fomitiporia_mediterranea",262.2638162,-0.20495295987812
"191","Forficula_auricularia",244.389309058824,-1.67767070443702
"192","Formicococcus_robustus",268.444722625,-0.0187159563505328
"193","Frankliniella_cestrum",235.069479333333,-0.98411013291214
"194","Frankliniella_occidentalis",248.416394382353,-2.00823392515173
"195","Fumaria_officinalis",293.868392058824,1.55367828122295
"196","Fusarium_oxysporum",267.518650106509,-0.371384036807866
"197","Fusarium_proliferatum",297.730326341463,3.09265929443207
"198","Galium_aparine",299.859801818182,1.66665061654565
"199","Geococcus_coffeae",276.380338285714,0.423743699864506
"200","Gibberella_intricans",275.777339333333,1.07824109302608
"201","Gibberella_sacchari",323.8306403125,3.77165017152281
"202","Gibberella_zeae",303.440054396552,4.43445023363796
"203","Globisporangium_irregulare",262.480604666667,-0.590027526371489
"204","Glyptoscelis_squamulata",NA,NA
"205","Gonocephalum_simplex",376.566485,2.57808716811573
"206","Gracilacus_mira",NA,NA
"207","Grapevine_asteroid_mosaic-associated_virus",NA,NA
"208","Grapevine_Bulgarian_latent_virus",NA,NA
"209","Grapevine_chrome_mosaic_virus",238.331015,-0.523539211961086
"210","Grapevine_deformation_virus",NA,NA
"211","Grapevine_fanleaf_virus",NA,NA
"212","Grapevine_flavescence_doree_phytoplasma",NA,NA
"213","Grapevine_fleck_virus",NA,NA
"214","Grapevine_leafroll-associated_viruses",3.375182,-4.32969223989142
"215","Grapevine_Pinot_gris_virus",238.331012,-0.489445480109302
"216","Grapevine_red_blotch-associated_virus",NA,NA
"217","Grapevine_Roditis_leaf_discoloration-associated_virus",NA,NA
"218","Grapevine_rupestris_stem_pitting-associated_virus",NA,NA
"219","Grapevine_rupestris_vein_feathering_virus",NA,NA
"220","Grapevine_Syrah_virus-1",NA,NA
"221","Grapevine_vein_necrosis_virus",NA,NA
"222","Grapevine_virus_A",NA,NA
"223","Grapevine_virus_D",NA,NA
"224","Grapevine_yellow_speckle_viroid 1",NA,NA
"225","Grapevine_yellow_speckle_viroid 2",NA,NA
"226","Grapevine_yellows_phytoplasmas",237.415796,-1.12419989835028
"227","Graphocephala_atropunctata",NA,NA
"228","Greeneria_uvicola",3.375182,-4.34095932787431
"229","Grovesinia_pyramidalis",241.36083936,-2.20487792725685
"230","Gryllotalpa_gryllotalpa",267.635571555556,-0.136194482531405
"231","Gueriniella_serratulae",237.0264002,-1.14569024286742
"232","Guignardia_bidwellii",157.838047333333,-3.12427767168322
"233","Haematonectria_haematococca",272.494906337349,0.523071015007013
"234","Halyomorpha_halys",242.990945351351,-2.53925681167962
"235","Harmonia_axyridis",235.06948,-0.560831355914065
"236","Harrisina_americana",NA,NA
"237","Harrisina_metallica",NA,NA
"238","Helianthus_ciliaris",291.405371,0.856213837066777
"239","Helicotylenchus_abunaamai",291.1424578,0.808409435152112
"240","Helicotylenchus_anhelicus",361.256566,1.53398610288787
"241","Helicotylenchus_conicephalus",NA,NA
"242","Helicotylenchus_digonicus",290.866193714286,1.9452493351925
"243","Helicotylenchus_dihystera",281.496049625,2.36532169408156
"244","Helicotylenchus_erythrinae",305.115834961538,3.17316104730822
"245","Helicotylenchus_multicinctus",272.849282807692,0.292878400288891
"246","Helicotylenchus_pseudorobustus",279.449264234375,1.34095522001346
"247","Helicotylenchus_sp.",275.061349,0.70009133611608
"248","Heliococcus_bohemicus",235.208392,-0.776514723731501
"249","Heliothis_virescens",249.9688361,-1.42886984085881
"250","Heliotropium_europaeum",265.406587263158,-0.20030756324969
"251","Helopeltis_antonii",262.597074333333,-0.363467132129071
"252","Hemiberlesia_lataniae",260.251932044118,-1.21631526553474
"253","Hemiberlesia_rapax",258.531736366667,-0.944860452716188
"254","Hemicriconemoides_californianus",235.069479,-0.551222391292404
"255","Hemicriconemoides_chitwoodi",238.331014,-0.671333325159274
"256","Hemicriconemoides_mangiferae",269.403100714286,0.0716234894104025
"257","Hemicriconemoides_ortonwilliamsi",NA,NA
"258","Hemicriconemoides_sinensis",NA,NA
"259","Hemicriconemoides_sp.",276.0508313,0.304208396188433
"260","Hemicriconemoides_wessoni",NA,NA
"261","Hemicycliophora_arenaria",255.839616857143,-0.58332563277356
"262","Hemicycliophora_onubensis",233.754922,-0.554582097257917
"263","Hemicycliophora_similis",251.0446452,-0.905239814609485
"264","Hemicycliophora_sp.",269.382853916667,0.0796109453224441
"265","Hemicycliophora_thornei",NA,NA
"266","Heterodera_sp.",266.65325046875,-0.209768875585833
"267","Heterodera_zeae",376.566486111111,7.22125740752948
"268","Heteronychus_arator",353.527241333333,3.34721554111453
"269","Hibiscus_trionum",302.100957266667,2.10020766587544
"270","Hippotion_celerio",330.487994666667,1.80541896730867
"271","Holocacista_capensis",NA,NA
"272","Holocacista_rivillei",NA,NA
"273","Homalodisca_vitripennis",250.67854525,-0.823260846005657
"274","Hop_stunt_viroid",234.7408404375,-2.17438170449698
"275","Hoplolaimus_pararobustus",296.9713120625,1.87010080489243
"276","Hoplolaimus_seinhorsti",283.95690575,1.11857880251131
"277","Hyalesthes_obsoletus",238.3310155,-0.65636937883469
"278","Hyles_livornica",376.566485,1.71083618287348
"279","Hyphantria_cunea",235.34127425,-1.84061295517956
"280","Hypothenemus_eruditus",233.754921,-0.770859180119198
"281","Hypurus_bertrandi",235.0694795,-0.780422780867109
"282","Icerya_aegyptiaca",262.40371505,-0.485235038507899
"283","Icerya_purchasi",249.314648481481,-1.70637300004617
"284","Icerya_schrottkyi",NA,NA
"285","Icerya_seychellarum",265.524255833333,-0.333803262216612
"286","Jacobiasca_lybica",237.51563125,-1.042240180314
"287","Kalotermes_flavicollis",NA,NA
"288","Kerria_lacca_lacca",243.846324571429,-1.49449424285703
"289","Lasiodiplodia_crassispora",297.5057425,0.872963137666532
"290","Lasiodiplodia_theobromae",263.15508752795,-1.29549093346689
"291","Lecanodiaspis_rugosa",234.193109,-0.973777182723683
"292","Lepidium_draba",301.5784484,2.11912639270668
"293","Lepidosaphes_buzenensis",NA,NA
"294","Lepidosaphes_gloverii",261.906718733333,-0.404519727458633
"295","Lepidosaphes_laterochitinosa",276.241267857143,0.297426694584951
"296","Lepidosaphes_malicola",234.8621318,-1.19924467780772
"297","Lepidosaphes_ulmi",241.132046967742,-2.61988661910464
"298","Lepidosaphes_ussuriensis",235.7217862,-1.27054146843384
"299","Leucaspis_vitis",NA,NA
"300","Limothrips_cerealium",315.549324285714,2.01520427342385
"301","Linaria_vulgaris",287.802217625,0.871873758679466
"302","Lobesia_botrana",239.321035833333,-1.75080641157084
"303","Lolium_multiflorum",277.299012352941,0.553514121948319
"304","Lolium_rigidum",278.0394325,0.451935939161177
"305","Longidorus",272.474859263158,0.405480245200976
"306","Longidorus_africanus",280.95833025,1.06581422721248
"307","Longidorus_carniolensis",NA,NA
"308","Longidorus_crataegi",NA,NA
"309","Longidorus_elongatus",270.052163827586,0.0886448716683684
"310","Longidorus_euonymus",235.069482,-0.509722626233594
"311","Longidorus_goodeyi",233.75492,-0.585323449282425
"312","Longidorus_henanus",NA,NA
"313","Longidorus_magnus",260.2830815,-0.331524102519841
"314","Longidorus_orientalis",376.566485,1.79366800259747
"315","Longidorus_vineacola",305.8179835,0.875505949569358
"316","Lopholeucaspis_japonica",241.011000363636,-2.22729567183892
"317","Lycorma_delicatula",0.594936,-4.36537591023932
"318","Lygus_spinolae",236.700248,-0.720855726008878
"319","Maconellicoccus_hirsutus",254.756943257732,-2.43405128614479
"320","Macrosiphum_euphorbiae",257.46718835,-0.868931178883601
"321","Mamestra_brassicae",258.13103631579,-0.780596408187121
"322","Margarodes_capensis",NA,NA
"323","Margarodes_greeni",NA,NA
"324","Margarodes_prieskaensis",NA,NA
"325","Margarodes_vitis",NA,NA
"326","Margarodes_vredendalensis",NA,NA
"327","Melanaspis_arnaldoi",NA,NA
"328","Melilotus_indica",288.7819208125,1.34635655211396
"329","Melittia_cucurbitae",235.069477,-0.774840342978159
"330","Meloidodera_sp.",277.131841,0.256965923679481
"331","Meloidogyne_arenaria",261.296785835821,-1.6200548933125
"332","Meloidogyne_chitwoodi",279.013867878788,0.936911332112991
"333","Meloidogyne_ethiopica",268.2696625625,-0.0917675610520393
"334","Meloidogyne_hapla",255.636492704,-2.60438874725799
"335","Meloidogyne_hispanica",252.349105555556,-1.21677934856475
"336","Meloidogyne_incognita",267.043950462312,-0.469453599206717
"337","Meloidogyne_javanica",261.991780206704,-1.74364789912545
"338","Meloidogyne_luci",250.718492,-0.927605689793084
"339","Meloidogyne_sp.",260.990234597561,-2.59923949629672
"340","Meloidogyne_thamesi",283.322327666667,0.476143640856597
"341","Melolontha_melolontha",271.2591155,0.152875381653851
"342","Merlinius_brevidens",278.23904626087,1.03954977714526
"343","Merlinius_nanus",305.817983,0.812732080803697
"344","Merophyas_divulsana",235.069477,-0.500999741636464
"345","Mesocriconema_rusticum",338.8339506,4.32695083133459
"346","Mesocriconema_xenoplax",262.579977269231,-0.522536128960773
"347","Metcalfa_pruinosa",248.666649,-1.05047468347093
"348","Monilinia_fructigena",235.472815190476,-2.53389629959312
"349","Mucor_circinelloides",278.655667923077,0.563550692671719
"350","Murgantia_histrionica",252.288825941176,-1.14467916404109
"351","Naupactus_xanthographus",252.546731333333,-1.06210365637577
"352","Neofusicoccum_australe",245.741946,-1.62678846808178
"353","Neofusicoccum_macroclavatum",NA,NA
"354","Neofusicoccum_mediterraneam",236.7002465,-0.69948297727623
"355","Neofusicoccum_vitifusiforme",235.720542875,-1.5091642248028
"356","Neonectria_macrodidyma",271.867005285714,0.15328816213211
"357","Neonectria_radicicola",280.65051778125,1.06675660595525
"358","Neopulvinaria_innumerabilis_innumerabilis",235.616221125,-2.19551364695193
"359","Neoselenaspidus_silvaticus",234.972030714286,-1.43388139572595
"360","Nicandra_physalodes",285.5061643,1.18554682742184
"361","Nipaecoccus_viridis",247.503507345455,-2.66987151819574
"362","Noctua_fimbriata",NA,NA
"363","Noctua_pronuba",237.6787078,-1.14633855998349
"364","Nysius_niger",NA,NA
"365","Oceanaspidiotus_spinosus",279.27575275,0.593729454759548
"366","Oides_scutellata",NA,NA
"367","Oligonychus_coffeae",251.077968444444,-0.907962267196085
"368","Oligonychus_fileno",NA,NA
"369","Oregmopyga_peruviana",NA,NA
"370","Orgyia_postica",234.698206375,-2.19935732829811
"371","Orthotydeus_californicus",NA,NA
"372","Orthotydeus_kochi",NA,NA
"373","Otiorhynchus_ligustici",235.0694795,-0.753601969831059
"374","Otiorhynchus_rugosostriatus",236.7002485,-0.736374742519934
"375","Otiorhynchus_sulcatus",236.3740938,-1.1011618836489
"376","Oxalis_pes-caprae",307.4487505,0.882900978132365
"377","Panonychus_citri",234.86981,-1.68793922957762
"378","Panonychus_ulmi",234.923417888889,-1.66311388355351
"379","Pantoea_agglomerans",302.346399294118,2.19452395777734
"380","Papaver_rhoeas",302.346399235294,2.19800536030246
"381","Paracoccus_marginatus",255.157416425532,-1.54234932665637
"382","Paradiaspis_lizeriana",NA,NA
"383","Paralongidorus_maximus",263.052766459459,-0.609491794523553
"384","Paranthrene_asilipennis",NA,NA
"385","Paranthrene_regalis",NA,NA
"386","Paranthrene_simulans",NA,NA
"387","Paraputo_leveri",276.053473714286,0.304654468164236
"388","Parasaissetia_nigra",270.484475169231,0.196739914758903
"389","Paratrichodorus_divergens",271.25911675,0.0598942946931605
"390","Paratrichodorus_hispanus",376.566487,1.74663405449766
"391","Paratrichodorus_minor",272.600087492754,0.552867565824728
"392","Paratrichodorus_pachydermus",NA,NA
"393","Paratrichodorus_porosus",279.955153392857,0.984612766358431
"394","Paratylenchus_baldaccii",NA,NA
"395","Paratylenchus_hamatus",257.90466896,-0.881267679419374
"396","Paratylenchus_sp.",267.967236511628,-0.0895227886299494
"397","Parlatoria_cinerea",248.576287888889,-0.943655408152691
"398","Parlatoria_oleae",251.307469357143,-1.5182275784068
"399","Parlatoria_proteus",260.303785909091,-0.665037153334022
"400","Parlatoria_theae",244.587651266667,-1.57861815564627
"401","Parthenolecanium_corni",235.018885466667,-2.00317307142348
"402","Parthenolecanium_corni_apuliae",NA,NA
"403","Parthenolecanium_corni_corni",239.694550866667,-2.56167610285478
"404","Parthenolecanium_persicae",232.669282206897,-3.32648299399946
"405","Paspalum_distichum",315.549323428571,1.90824065227367
"406","Passiflora_foetida",334.3120807,3.31474119815677
