"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Alternaria_alternata",757,274.278718559958,292.254018690856,5.06423042705625,1,-3.54946331724214,0.001,999
"Aspergilus_niger",1,NA,NA,NA,NA,NA,NA,999
"Botrytis_cinerea",839,308.803188323907,292.385276379608,4.61749616164505,1000,3.55558756727814,1,999
"Calosphaeria_alnicola",3,159.385102666667,195.638823749068,74.1530290670954,245,-0.488904115428625,0.245,999
"Elsino‘_ampelina",5,53.08045056,237.141183122125,69.2380237602186,1,-2.65837646088158,0.001,999
"Erostella_minima",1,NA,NA,NA,NA,NA,NA,999
"Erysiphe_necator ",5,48.47758768,238.187630254742,68.2004918966769,1,-2.78165211567903,0.001,999
"Eutypa_lata",98,229.025050863219,290.065409012555,17.3808736957488,1,-3.51192691563409,0.001,999
"Greeneria_uvicola",2,25.756916,148.644182599591,73.132739645034,7,-1.68033178021296,0.007,999
"Guignardia_Bidwellii",11,67.1371973553719,268.292076601692,50.9880207495115,1,-3.94513998169358,0.001,999
"Lasiodiplodia_theobromae",529,290.418198849579,292.132336341786,6.84855483575254,416,-0.250291854751331,0.416,999
"Meloidogyne_arenaria",4,185.163950750113,219.874404506492,70.7531365907866,390,-0.490585370895048,0.39,999
"Meloidogyne_hapla",2,135.75806450015,145.047481156641,68.5434361210756,785,-0.135525984429519,0.785,999
"Meloidogyne_incognita",11,217.881194446281,267.011647828505,51.0638946083155,134,-0.962136824053043,0.134,999
"Meloidogyne_javanica",3,121.256100444356,195.695433889433,72.6845215390238,23,-1.02414285557498,0.023,999
"Mesocriconema_xenoplax",96,293.558575112413,289.681433124722,17.8527833679084,592,0.217172970051319,0.592,999
"Mycosphaerella_angulata",1,NA,NA,NA,NA,NA,NA,999
"Otiorhynchus_sulcatus",1,NA,NA,NA,NA,NA,NA,999
"Paratrichodorus_minor",58,321.396604320945,287.881920541473,23.9608029413656,906,1.39872957769761,0.906,999
"Phaeoacremonium_aleophilum",3,340.393608888889,194.08554674005,71.7145928279969,857.5,2.04014352420224,0.8575,999
"Phaeoacremonium_minimum",9,296.877049975309,258.399354417709,54.7831279126844,698,0.702363976349188,0.698,999
"Phaeomoniella_aleophilum",1,NA,NA,NA,NA,NA,NA,999
"Phaeomoniella_chlamydospora",1,NA,NA,NA,NA,NA,NA,999
"Phomopsis_viticola",2,25.756916,148.644182599591,73.132739645034,7,-1.68033178021296,0.007,999
"Planococcus_ficus",1,NA,NA,NA,NA,NA,NA,999
"Plasmopara_viticola",24,69.6161086493056,281.844274868883,35.6266274475214,1,-5.95700972628387,0.001,999
"Pleurostoma_minimum",2,118.5786035,145.279617825815,68.0024078274801,220,-0.392648072014659,0.22,999
"Popillia_japonica",1,NA,NA,NA,NA,NA,NA,999
"Pseudocercospora_vitis",9,61.5025241975309,260.080180094259,54.7766307452833,1,-3.62522581609908,0.001,999
"Pseudococcus_longispinus",89,346.392111142775,289.00374243258,17.7691269862007,1000,3.22966731875811,1,999
"Pseudococcus_viburni",106,271.038704571012,289.821840752333,16.9225499654177,140,-1.10994715451901,0.14,999
"Pseudopezicula_tetrsaspora",5,48.47758768,238.187630254742,68.2004918966769,1,-2.78165211567903,0.001,999
"Togninia_minima",2,123.7342365,146.06137534433,70.1264383665028,462,-0.318384041231946,0.462,999
"TomRSV",4,115.83684875,218.669693030939,68.33751226856,2,-1.50477886693937,0.002,999
"Tylenchorhynchus_clarus",19,262.195122293629,276.376160842207,39.3967246513704,317,-0.35995475954077,0.317,999
"Tylenchulus_semipenetrans",3,160.904343555556,198.45619761964,74.862169567863,274.5,-0.50161322174938,0.2745,999
"Xiphinema_americanum",77,342.811460439115,289.986840280971,19.9924780582642,993,2.64222474093491,0.993,999
"Xiphinema_index",4,120.8537595,218.925218224735,69.0815411652669,2,-1.41964781141918,0.002,999
"Xylella_fastidiosa",22,166.705713107438,279.720432611021,37.1640800530385,1,-3.04096642086376,0.001,999
