"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Acanthacris_ruficornis",29,20.8167779655173,161.444411830709,20.5786897045737,1,-6.83365344849614,0.001,999
"Achatina_fulica",258,42.7164994630933,75.5741071341772,4.06695772911288,1,-8.07916134359506,0.001,999
"Agriotes_lineatus",50,9.65259422000001,136.047319345199,14.7092702589983,1,-8.59286170555458,0.001,999
"Agrotis_segetum",91,33.3613362087912,111.351919513854,9.41477200266894,1,-8.28385257581954,0.001,999
"Albonectria_rigidiuscula",151,32.4676812649855,92.3069785178774,6.07261574327828,1,-9.85395746785517,0.001,999
"Aleurocanthus_spiniferus",81,59.0992800740717,115.653922681301,10.1298819393552,1,-5.58295180001175,0.001,999
"Alfalfa_mosaic_virus",65,55.924533323077,124.939328365671,12.4049008558629,1,-5.56351040967622,0.001,999
"Alternaria_alternata",2123,29.108044398732,35.7371164746201,0.775771062318877,1,-8.54513966539691,0.001,999
"Ampeloglypter_ater",34,57.5633668529412,154.370706850264,18.3058203221607,1,-5.28833662155688,0.001,999
"Ampelophaga_rubiginosa",5,145.055181,231.934920966781,50.4433222556521,28,-1.7223239089302,0.028,999
"Amphicerus_bimaculatus",0,NA,NA,NA,NA,NA,NA,999
"Amyelois_transitella",26,22.8077338076923,165.662387816728,22.2064360306788,1,-6.43302931689164,0.001,999
"Anacridium_rubrispinum",18,21.638995388889,181.020346983891,27.7767705468778,1,-5.73793671679794,0.001,999
"Anastrepha_fraterculus",100,36.7427754900001,107.351789324743,9.03913079496867,1,-7.81148270075311,0.001,999
"Anomala_cuprea",1,NA,NA,NA,NA,NA,NA,999
"Anomala_dubia",1,NA,NA,NA,NA,NA,NA,999
"Aonidiella_aurantii",1158,24.097853085068,43.7877021435984,1.28671738353317,1,-15.3023883181437,0.001,999
"Aonidiella_inornata",205,26.1211480791135,82.1383092677913,5.10790150832622,1,-10.9667661166462,0.001,999
"Aonidiella_orientalis",763,35.3075239534925,50.6595807546631,1.83062331775295,1,-8.38624563135956,0.001,999
"Apate_monachus",90,29.1065951888889,111.398140228935,9.53013386275264,1,-8.63487819008215,0.001,999
"Aphis_fabae",382,25.6411448246081,65.1565623873578,3.07010634322904,1,-12.8710256730679,0.001,999
"Aphis_gossypii",76,39.5561438684211,117.602389177968,10.5970768149542,1,-7.36488436126184,0.001,999
"Aphis_spiraecola",246,18.196969097561,76.7987204692578,4.45926268033787,1,-13.1415786807286,0.001,999
"Apolygus_spinolae",55,72.9001228181819,131.964806081101,13.033521773107,1,-4.53175160874721,0.001,999
"Arabis_mosaic_virus",119,86.5009370840336,100.726841938148,7.38192401676306,22,-1.92712696876985,0.022,999
"Argyrotaenia_ljungiana",1,NA,NA,NA,NA,NA,NA,999
"Armillaria_luteobubalina",246,32.6064886056911,76.8927780685347,4.51339499589773,1,-9.81219004831084,0.001,999
"Armillaria_mellea",1679,28.9828214211623,38.5916740127508,0.951848496497143,1,-10.0949390863668,0.001,999
"Artichoke_Italian_latent_virus",11,104.20538,202.102228046134,34.4967947767171,4,-2.83785344927778,0.004,999
"Aspergillus_niger",528,36.1254764960145,57.7156286098029,2.33709531119667,1,-9.23802808141935,0.001,999
"Aspidiotus_destructor",626,33.883031776011,54.3673606704289,2.14652618420104,1,-9.54301375179465,0.001,999
"Aspidiotus_ligusticus",17,30.2812298235294,185.700380771365,28.093486377452,1,-5.53221301406635,0.001,999
"Aspidiotus_nerii",1420,26.9103302276035,40.8482974336603,1.11675057513615,1,-12.4808238440866,0.001,999
"Asterococcus_muratae",106,47.9196381603755,105.156058961289,8.50482558377579,1,-6.72987590834316,0.001,999
"Asterolecanium_pustulans",1115,27.2665458495733,44.3564983590169,1.30047319751157,1,-13.1413338945738,0.001,999
"Asymmetrasca_decedens",43,17.3336230000001,143.442481978656,15.6320934677555,1,-8.06730456408685,0.001,999
"Autographa_gamma",25,36.0097177200001,167.010358490504,22.7480275367001,1,-5.75876921896443,0.001,999
"Bactrocera_tryoni",101,74.4808137869116,107.076189072342,8.85772394392884,1,-3.67988159167815,0.001,999
"Botryosphaeria_dothidea",1034,30.3642215900048,45.5069189054376,1.44593744578068,1,-10.4725812030251,0.001,999
"Botryosphaeria_sacchari",75,13.4550798063743,119.212416521761,10.5316120347499,1,-10.0418944760244,0.001,999
"Botryosphaeria_stevensii",459,35.4980428313726,60.6704593220338,2.68154008492128,1,-9.38729822918168,0.001,999
"Botryotinia_fuckeliana",2445,27.6324856520302,34.11541050068,0.707944938337832,1,-9.15738569142253,0.001,999
"Botrytis_cinerea",1184,40.7727670357659,43.4028879979721,1.25393085954943,19,-2.0975007849725,0.019,999
"Botrytis_pseudocinerea",14,15.0031935714286,192.579940253851,31.5009730080492,1,-5.63718290978022,0.001,999
"Brevipalpus_californicus",197,22.6609679465892,83.4794701445929,4.95129245459878,1,-12.2833588917809,0.001,999
"Brevipalpus_chilensis",56,28.0390668750001,131.196869998984,12.6101653415545,1,-8.18052740228917,0.001,999
"Brevipalpus_lewisi",41,20.7698190487806,145.74423138538,16.5299664042691,1,-7.56047588241457,0.001,999
"Cactodera_milleri",1,NA,NA,NA,NA,NA,NA,999
"Carnation_ringspot_virus",11,71.5513129090909,205.406749764413,35.9960578445075,1,-3.71861378358538,0.001,999
"Ceratitis_capitata",271,39.5040996826535,74.3667228976192,4.09285544909358,1,-8.51792193703944,0.001,999
"Ceratitis_rosa",73,62.6701361780822,119.394782395874,11.1984569277083,1,-5.06539843694341,0.001,999
"Ceresa_alta",117,31.9237584871795,101.083425237994,7.59700538361493,1,-9.10354320663993,0.001,999
"Ceroplastes_actiniformis",11,105.7198103636,203.306109370107,34.9486924571775,2,-2.79227324816455,0.002,999
"Ceroplastes_cirripediformis",501,29.9166638483393,58.9100925769479,2.5312396216712,1,-11.4542410289336,0.001,999
"Ceroplastes_rusci",388,27.9707885186538,64.8554820329634,3.04326300006725,1,-12.1201136784742,0.001,999
"Ceroplastes_sinensis",29,23.4689617931035,159.807931409805,21.3195746112831,1,-6.39501360146964,0.001,999
"Cerosterna_scabrator",66,54.1192234393939,124.559936852767,12.1311127989369,1,-5.80661597834179,0.001,999
"Chaetocnema_confinis",129,50.6759412015504,97.6425676983209,7.46462933097824,1,-6.2918899806396,0.001,999
"Cherry_leaf_roll_virus",128,72.9769449296875,97.9455189352836,7.22437129499712,1,-3.45615874185298,0.001,999
"Chinavia_sp.",257,21.4307748871596,75.4220298292327,4.12110042251987,1,-13.1011742997177,0.001,999
"Chlidaspis_asiatica",58,23.9309845344828,129.371478130202,13.0492066953283,1,-8.08022250375326,0.001,999
"Chrysomphalus_aonidum",810,32.4311713611001,49.6529292347815,1.78403582290266,1,-9.65325788450884,0.001,999
"Chrysomphalus_dictyospermi",1099,28.1437287178099,44.5463792914214,1.40675467906077,1,-11.6599225279015,0.001,999
"Chrysomphalus_pinnulifer",262,37.2319744789117,75.14717516731,4.13770930272944,1,-9.16333118505632,0.001,999
"Citrus_exocortis_viroid",46,17.7034211304348,139.47833937889,14.7796393304148,1,-8.23937009057157,0.001,999
"Cnephasia_longana",38,106.00877081579,148.90638026012,17.3006664442401,2,-2.47953508511301,0.002,999
"Coccus_hesperidum",1298,32.2002709531529,42.098610339719,1.1855835001075,1,-8.34891796796137,0.001,999
"Coccus_longulus",660,36.2010684785292,53.4554830360073,1.94699591532397,1,-8.8620702394268,0.001,999
"Colletotrichum_acutatum",533,29.1710519174664,57.7199346472424,2.40326039493556,1,-11.8792298953278,0.001,999
"Colletotrichum_capsici",685,31.9630043754215,52.6705331256099,1.92132855364996,1,-10.7777135310097,0.001,999
"Colletotrichum_nymphaeae",119,42.3643420335866,100.674472790677,7.44998006512343,1,-7.82688413222281,0.001,999
"Colomerus_vitis",0,NA,NA,NA,NA,NA,NA,999
"Coniella_diplodiella",84,61.5359146904762,114.34168875736,9.97199825225878,1,-5.29540546749721,0.001,999
"Conogethes_punctiferalis",49,53.8412605508898,136.939766018126,14.8353759362451,1,-5.60137510666069,0.001,999
"Conotrachelus_nenuphar",78,22.088758541718,117.064986523642,10.4865459814767,1,-9.05696004668161,0.001,999
"Cornu_aspersum",217,50.8477435391595,80.5668792485786,4.85647581524379,1,-6.11948598943599,0.001,999
"Costelytra_zealandica",79,27.153972898738,116.822811290094,10.2620622569291,1,-8.73789655006336,0.001,999
"Crenulaspidiotus_lahillei",39,15.9555825641026,147.584399434584,17.2142040612964,1,-7.64652355704493,0.001,999
"Criconema_mutabile",419,26.1337235882532,62.8923111038664,2.88313064874006,1,-12.7495393008558,0.001,999
"Criconemoides_sp.",572,35.2935826555442,56.1389029775247,2.18279971953915,1,-9.54980896111783,0.001,999
"Criconemoides_xenoplax",465,27.9259885730711,60.5874347356591,2.60837477884373,1,-12.5217612236944,0.001,999
"Crocidosema_plebejana",130,35.1089658769231,97.4708653217252,7.17593671279524,1,-8.69041937529998,0.001,999
"Crypticerya_palmeri",15,27.6807153333333,190.07614024394,29.9986193341461,1,-5.41342996828389,0.001,999
"Cryptinglisia_lounsburyi",28,12.7984178571429,161.468206160125,20.9737850897393,1,-7.0883623374073,0.001,999
"Ctenopseustis_obliquana",49,90.2446637959184,136.90931699204,14.3489640158273,1,-3.2521269929069,0.001,999
"Cucumber_mosaic_virus",167,48.5932461405825,88.893893218035,5.64831109623936,1,-7.13499068850592,0.001,999
"Cylindrocarpon_liriodendri",57,53.8479424736842,130.003865073259,12.9373147595165,1,-5.88653240762779,0.001,999
"Cylindrocladiella_parva",282,45.1905847490071,73.1042484996113,3.79804518675946,1,-7.34948174074265,0.001,999
"Dactylonectria_macrodidyma",2,242.574508,278.499439211206,123.262142322759,298,-0.291451458933253,0.298,999
"Dactylonectria_pauciseptata",2,650.100056,275.731378319298,120.405659522315,971.5,3.10922824696061,0.9715,999
"Daktulosphaira_vitifoliae",34,57.5633668529412,152.756688778276,19.2076111764899,1,-4.9560208737384,0.001,999
"Deilephila_elpenor",47,52.0627201702128,138.856275643143,14.434546571589,1,-6.01290487667706,0.001,999
"Diabrotica_speciosa",57,25.459841421058,130.943636892385,13.1015788348876,1,-8.05122777954359,0.001,999
"Diaporthe_cotoneastri",1038,30.1627868488141,45.4292162355367,1.40543898785408,1,-10.86239211994,0.001,999
"Diaporthe_rudis",322,43.5870932453416,69.3659107558589,3.49931143090941,1,-7.36682573686155,0.001,999
"Diaspidiotus_osborni",315,24.3566037873016,70.0766427751931,3.43142052830374,1,-13.3239393454618,0.001,999
"Diaspidiotus_perniciosus",804,24.3340779679774,49.6808395660546,1.77974470230119,1,-14.2417963460176,0.001,999
"Diaspidiotus_uvae",146,44.3650153630137,93.5261236185689,6.45791262594407,1,-7.61253846297872,0.001,999
"Diplodia_africana",1,NA,NA,NA,NA,NA,NA,999
"Diplodia_corticola",111,35.7479358198198,103.484317842277,8.14797131765292,1,-8.31328184424307,0.001,999
"Ditylenchus_dipsaci",563,31.1661667744167,56.5006856484467,2.15240800566878,1,-11.7703143675858,0.001,999
"Ditylenchus_sp.",379,37.6792255596,65.604680135672,3.21885612238014,1,-8.67558334835511,0.001,999
"Dociostaurus_maroccanus",327,22.2278786483181,69.1221661218289,3.43090281828419,1,-13.6682062877441,0.001,999
"Drosophila_melanogaster",116,53.0880304568966,101.421693897018,7.75439184222421,1,-6.23306952028591,0.001,999
"Drosophila_simulans",32,19.72721178125,156.189859137005,19.1730646017367,1,-7.11741446609398,0.001,999
"Drosophila_suzukii",215,52.1752388151349,80.9429243422723,4.83868764583066,1,-5.94534874594057,0.001,999
"Duplaspidiotus_fossor",107,25.9336299906542,104.729401643013,8.00790028901135,1,-9.83975434365534,0.001,999
"Duplaspidiotus_tesseratus",171,46.5916658802644,88.0377311450241,5.7081952050345,1,-7.26080026629174,0.001,999
"Dysmicoccus_brevipes",505,23.3514411302382,58.8605271910105,2.54215517277742,1,-13.9681033010967,0.001,999
"Dysmicoccus_sp.",5,94.9072114,230.32046189277,48.7562016150806,3,-2.77735438789566,0.003,999
"Edwardsiana_rosae",64,107.03447765625,125.706806162323,12.2088927806976,61,-1.52940392232732,0.061,999
"Elsinoe_ampelina",68,87.2344276764706,123.034301980525,11.6984385474953,1,-3.06022672673009,0.001,999
"Empoasca_decipiens",44,22.5639604772728,142.125353438018,15.8623487439333,1,-7.53743313117313,0.001,999
"Endoclita_signifer",123,37.2865213252016,99.8629895136417,7.5206775140741,1,-8.32058921172133,0.001,999
"Eotetranychus_carpini",6,17.025709,226.371568930021,45.6176024867631,1,-4.58914648113669,0.001,999
"Epicoccum_nigrum",508,42.8918767435596,58.5433702416238,2.49834819125832,1,-6.26473665793604,0.001,999
"Epiphyas_postvittana",498,34.786948498502,59.2030640211248,2.4514149953036,1,-9.96000904351118,0.001,999
"Erysiphe_necator",84,69.7808575832953,114.01930272735,10.1889441894836,1,-4.34180856439623,0.001,999
"Erythroneura_comes",34,57.5633668529412,154.088770634026,18.7612440844998,1,-5.14493619646643,0.001,999
"Erythroneura_elegantula",53,26.1019776226416,134.224058423808,13.7357837785012,1,-7.87156252200152,0.001,999
"Eudocima_phalonia",50,52.2368932295614,136.141357890916,14.4728929103586,1,-5.7973526910644,0.001,999
"Eulecanium_tiliae",446,30.4530025252332,61.5636772093428,2.66892841828704,1,-11.6566163674322,0.001,999
"Euproctis_chrysorrhoea",271,41.6339586309964,74.1933343595799,4.02684130408581,1,-8.0855870072524,0.001,999
"Eurhizococcus_brasiliensis",146,71.3605607946076,93.5524127621902,6.65296632878999,2,-3.33563268936892,0.002,999
"Eutypa_lata",594,28.4118600505051,55.4109595930171,2.2073265998452,1,-12.2315834659019,0.001,999
"Ferrisia_cristinae",7,126.533084428514,222.587053715952,43.0816215922788,7,-2.22958110064857,0.007,999
"Ferrisia_sp.",132,34.2303189134849,96.9242783929985,6.93818229067164,1,-9.03607845008705,0.001,999
"Ferrisia_virgata",672,31.3878335053239,53.0372821788387,1.97078586705155,1,-10.9851856741311,0.001,999
"Fomitiporia_mediterranea",86,20.7062112674419,113.770401952492,10.0098124526505,1,-9.29729614068921,0.001,999
"Forficula_auricularia",42,74.2804666190477,144.185838968349,16.178155562682,1,-4.32097293652877,0.001,999
"Formicococcus_robustus",46,57.9071972391305,139.40351963477,15.1988859768996,1,-5.3619931434122,0.001,999
"Frankliniella_australis",0,NA,NA,NA,NA,NA,NA,999
"Frankliniella_occidentalis",276,32.4296671982953,73.4590441903087,3.98642232625721,1,-10.2922805548641,0.001,999
"Fusarium_gibbosum",406,29.74950027041,63.7227920284768,2.96248387343124,1,-11.4678402345927,0.001,999
"Fusarium_graminearum",399,27.103661246813,64.1412247709069,3.03432968218113,1,-12.2061764552462,0.001,999
"Fusarium_oxysporum",1389,31.7564507159363,41.199464841454,1.1420702052744,1,-8.26833068747191,0.001,999
"Fusarium_proliferatum",92,14.5788000595443,111.064854562886,9.09797594296658,1,-10.6052219865378,0.001,999
"Geococcus_coffeae",246,27.0897261825718,76.751571616747,4.10140514519928,1,-12.1084954243803,0.001,999
"Globisporangium_irregulare",189,31.2238428994725,84.9762935061272,5.20703080538513,1,-10.3230521607562,0.001,999
"Gonocephalum_simplex",3,3.56182733333333,246.938881003329,62.5192202688938,1,-3.89283571713204,0.001,999
"Gracilacus_sp.",3,374.804824,249.921343788439,65.5662752012833,908.5,1.90469078544082,0.9085,999
"Grapevine_fanleaf_virus",36,68.7902033055556,150.773122776847,17.6473057276797,1,-4.6456337718852,0.001,999
"Grapevine_virus_A",1,NA,NA,NA,NA,NA,NA,999
"Grovesinia_pyramidalis",303,46.9205369339914,71.1099711647124,3.72019176065356,1,-6.50220090441558,0.001,999
"Gryllotalpa_gryllotalpa",160,39.5883194125025,90.2672188142684,5.97434354932042,1,-8.48275613603282,0.001,999
"Gueriniella_serratulae",201,26.2654412437811,83.2008853087092,5.15539135864989,1,-11.0438645883595,0.001,999
"Halyomorpha_halys",278,50.3078587776979,73.5151664878882,4.04397818461723,1,-5.73873217181734,0.001,999
"Harmonia_axyridis",55,37.5189781818182,132.26424059781,13.6884485393636,1,-6.92154864326187,0.001,999
"Helicotylenchus_abunaamai",0,NA,NA,NA,NA,NA,NA,999
"Helicotylenchus_digonicus",516,29.1907702603818,58.3066294836624,2.50010490429396,1,-11.6458550092334,0.001,999
"Helicotylenchus_dihystera",1150,32.3487978287382,43.8302757119156,1.31415927726037,1,-8.73674757835513,0.001,999
"Helicotylenchus_erythrinae",440,25.3665631281775,61.7436700379243,2.72038237898661,1,-13.372056513356,0.001,999
"Helicotylenchus_multicinctus",116,18.4647689868523,101.393244779492,7.44956903883679,1,-11.1319829859028,0.001,999
"Helicotylenchus_pseudorobustus",362,37.1672140234113,66.6168541231674,3.29116166709661,1,-8.94809890203175,0.001,999
"Helicotylenchus_sp.",515,29.6500033064817,58.4236737983037,2.32527422741167,1,-12.374312738094,0.001,999
"Heliococcus_bohemicus",268,37.6567112313433,74.4222434252437,4.15433069350464,1,-8.84992912369345,0.001,999
"Heliothis_virescens",101,43.2629375940594,107.055033100478,8.63112492368888,1,-7.39093641563861,0.001,999
"Hemiberlesia_lataniae",1355,32.20494773158,41.4626363063241,1.17775206652472,1,-7.86047321662647,0.001,999
"Hemiberlesia_rapax",823,29.9089558847667,49.2406595255215,1.69840173315621,1,-11.3822915175845,0.001,999
"Hemicriconemoides_chitwoodi",94,20.1296490851064,110.040907171455,9.12247956105784,1,-9.85601091069172,0.001,999
"Hemicriconemoides_mangiferae",94,60.1527322923199,109.620960908525,8.81642007100192,1,-5.61092010337744,0.001,999
"Hemicriconemoides_sp.",325,33.5951745430095,69.2364953130574,3.5061931098237,1,-10.1652475073856,0.001,999
"Hemicriconemoides_wessoni",5,72.9603832,232.476038100111,48.4656360319321,1,-3.29131458823758,0.001,999
"Hemicycliophora_arenaria",3,381.678999666667,246.079765318105,59.7518274286283,933,2.26937384485071,0.933,999
"Hemicycliophora_sp.",472,30.5121924173695,60.2517705737323,2.58661662118942,1,-11.4974820438166,0.001,999
"Heterodera_sp.",747,22.7394081846293,51.0026894343933,1.86205270772051,1,-15.1785613439286,0.001,999
"Heterodera_zeae",29,16.5351646896552,162.083780234354,20.522258402969,1,-7.09223189216064,0.001,999
"Heteronychus_arator",66,54.6398131515151,124.380938439646,11.9438524548304,1,-5.83908128067385,0.001,999
"Hippotion_celerio",189,21.9237205396825,84.603269938631,5.44275475751594,1,-11.5161443407667,0.001,999
"Holocacista_capensis",1,NA,NA,NA,NA,NA,NA,999
"Homalodisca_vitripennis",72,68.9339404861112,121.067773026408,11.241499460633,1,-4.63762265193058,0.001,999
"Hoplolaimus_pararobustus",74,57.3800956280821,119.530530252359,10.729957912124,1,-5.79223470709534,0.001,999
"Hoplolaimus_sp.",67,56.6828182757921,123.348486139834,11.62206971773,1,-5.73612699658309,0.001,999
"Hop_stunt_viroid",30,37.6877413666667,159.885919633102,20.1194768199245,1,-6.07362603710553,0.001,999
"Hyalesthes_obsoletus",17,54.8782781176823,185.230677579323,27.122584527978,1,-4.80604639012836,0.001,999
"Hyles_livornica",145,25.8697939724138,93.5538398986513,6.7582570772198,1,-10.0150149887582,0.001,999
"Hyphantria_cunea",121,30.148710123967,100.157398757654,7.42352899959862,1,-9.4306479623737,0.001,999
"Hypothenemus_eruditus",59,6.18619883050848,128.823275516807,12.1739321671633,1,-10.0737440460763,0.001,999
"Hypurus_bertrandi",0,NA,NA,NA,NA,NA,NA,999
"Icerya_aegyptiaca",440,36.1741777913729,61.9014255637892,2.74991890622287,1,-9.3556387114534,0.001,999
"Icerya_purchasi",684,32.5032823809284,52.7205424191242,1.98140785011388,1,-10.2034823557572,0.001,999
"Icerya_schrottkyi",1,NA,NA,NA,NA,NA,NA,999
"Icerya_seychellarum",882,30.8039346360848,48.1203397380798,1.63119112266294,1,-10.6158039124967,0.001,999
"Ilyonectria_radicicola",630,35.4004157742344,54.2185801398076,2.09759563974221,1,-8.97130219429989,0.001,999
"Inglisia_vitrea",72,28.0418364027778,119.971595565519,10.8518036228203,1,-8.47138064399006,0.001,999
"Jacobiasca_lybica",17,8.96145352941186,184.419183077374,28.2175163342159,1,-6.21804298683813,0.001,999
"Kalotermes_flavicollis",8,10.066995625,212.804306088923,42.2446694577972,1,-4.79912171324857,0.001,999
"Kerria_lacca",113,33.7367193186089,102.427623837831,8.14702564760356,1,-8.43140889576404,0.001,999
"Lasiodiplodia_theobromae",1724,30.6893442220171,38.2604415336032,0.920937205762184,1,-8.22107877085938,0.001,999
"Lecanium_corni",916,30.9523628758197,47.4369703797696,1.58231715385142,1,-10.4180173132963,0.001,999
"Lecanodiaspis_rugosa",126,47.7781322229731,98.5781205254811,7.5892000339195,1,-6.69372108726352,0.001,999
"Lepadoretus_sinicus",159,66.5758653088516,90.3484195101018,6.14311689964933,1,-3.86978704615034,0.001,999
"Lepidosaphes_buzenensis",3,14.9154346666667,247.566448156959,59.2248038225564,1,-3.9282698881931,0.001,999
"Lepidosaphes_gloverii",197,35.2839235068762,83.6901795003001,4.9733133640733,1,-9.73320047417598,0.001,999
"Lepidosaphes_laterochitinosa",124,39.1681040404,99.0234840099816,7.3560388582464,1,-8.13690372264434,0.001,999
"Lepidosaphes_malicola",373,23.0870542788204,65.5470193551694,3.05542671215905,1,-13.8965745463244,0.001,999
"Lepidosaphes_ulmi",1074,22.8186294448674,44.935243499039,1.34959577848951,1,-16.3875839022888,0.001,999
"Lepidosaphes_ussuriensis",128,34.3484386171875,98.3360571393646,7.07049243902168,1,-9.04995218848304,0.001,999
"Leucaspis_vitis",34,57.5633668529412,153.811296942953,17.8178575169184,1,-5.4017678611821,0.001,999
