"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Acanthacris_ruficornis",29,71.4368802561577,275.999514460558,30.261750244799,1,-6.75977537814615,0.001,999
"Achatina_fulica",258,233.801948793033,275.006548491256,10.0629843788228,1,-4.09466994552198,0.001,999
"Agriotes_lineatus",50,283.074666429388,274.118796877948,21.7699859805411,700,0.411386096410225,0.7,999
"Agrotis_segetum",91,242.695334999141,275.139986401134,16.6508693709709,17,-1.94852597057522,0.017,999
"Albonectria_rigidiuscula",151,223.402247764556,275.407185351549,13.0949393628406,1,-3.97137673921325,0.001,999
"Aleurocanthus_spiniferus",81,184.450544343205,275.151459460463,17.4265969930446,1,-5.20474049830032,0.001,999
"Alfalfa_mosaic_virus",65,209.451230932692,275.942246806737,19.5655352327387,1,-3.39837449285752,0.001,999
"Alternaria_alternata",2123,280.931316501696,275.52937829223,2.9392265731524,969,1.83787743987087,0.969,999
"Ampeloglypter_ater",34,74.1379766951872,275.379075597055,27.9526547148118,1,-7.19935551578336,0.001,999
"Ampelophaga_rubiginosa",5,201.0665116,273.221010141536,71.1813261783567,10,-1.01367173689263,0.01,999
"Amphicerus_bimaculatus",0,NA,NA,NA,NA,NA,NA,999
"Amyelois_transitella",26,29.8061991446154,275.891671872359,32.3211243471111,1,-7.6137658481469,0.001,999
"Anacridium_rubrispinum",18,39.0856279411766,276.436927965603,38.2712627181998,1,-6.20181523071499,0.001,999
"Anastrepha_fraterculus",100,159.226205370101,275.639042618016,15.7421059775345,1,-7.39499768417563,0.001,999
"Anomala_cuprea",1,NA,NA,NA,NA,NA,NA,999
"Anomala_dubia",1,NA,NA,NA,NA,NA,NA,999
"Aonidiella_aurantii",1158,295.918836878975,275.342482225766,4.51077184775687,1000,4.56160394444272,1,999
"Aonidiella_inornata",205,203.566233694159,275.867018865044,11.0172157969088,1,-6.56252782042906,0.001,999
"Aonidiella_orientalis",763,249.405432804103,275.328510103982,5.26405212533378,1,-4.92454798749463,0.001,999
"Apate_monachus",90,135.552027792759,275.593057446303,16.0419693307555,1,-8.72966571411275,0.001,999
"Aphis_fabae",382,212.622021600749,275.287863378941,7.63597833972643,1,-8.20665525623232,0.001,999
"Aphis_gossypii",76,189.475847809825,275.254627243885,17.5934068379135,1,-4.87562074954175,0.001,999
"Aphis_spiraecola",246,177.287396725701,275.556417923699,9.9219693584006,1,-9.90418511167811,0.001,999
"Apolygus_spinolae",55,178.488239063973,274.856626046861,21.5337520691278,1,-4.4752250640541,0.001,999
"Arabis_mosaic_virus",119,217.477105885486,274.885333616907,15.2051932903876,1,-3.77556711283062,0.001,999
"Argyrotaenia_ljungiana",1,NA,NA,NA,NA,NA,NA,999
"Armillaria_luteobubalina",246,234.744725738079,275.638369721241,9.91771797648498,1,-4.12329167658548,0.001,999
"Armillaria_mellea",1679,309.021656113071,275.438182377687,3.36163079062166,1000,9.99023266596547,1,999
"Artichoke_Italian_latent_virus",11,168.869144327273,275.380264164459,48.6694140863842,1,-2.18846110717786,0.001,999
"Aspergillus_niger",528,321.182453558761,275.625307810143,6.72329043977013,1000,6.77601929542341,1,999
"Aspidiotus_destructor",626,238.303685071224,275.22624947866,5.93161284653252,1,-6.22470909055022,0.001,999
"Aspidiotus_ligusticus",17,144.428918470588,275.592667253546,39.9568517808881,1,-3.28263471562331,0.001,999
"Aspidiotus_nerii",1420,305.322632328508,275.613607067388,3.81540626452565,1000,7.78659550290725,1,999
"Asterococcus_muratae",106,210.242253248514,275.517717494921,14.6475238226294,1,-4.45641632243403,0.001,999
"Asterolecanium_pustulans",1115,227.175126934118,275.266361610083,4.49704155930374,1,-10.6939715903826,0.001,999
"Asymmetrasca_decedens",43,114.949686660022,275.346157301901,24.3234759145683,1,-6.59430712967345,0.001,999
"Autographa_gamma",25,135.334156613333,276.584817706751,32.4236092185175,1,-4.35641387550242,0.001,999
"Bactrocera_tryoni",101,219.347091627705,276.389045190079,15.7499923790121,1,-3.62171308973998,0.001,999
"Botryosphaeria_dothidea",1034,305.688893426544,275.323593428189,4.63067597514984,1000,6.55742275238172,1,999
"Botryosphaeria_sacchari",75,282.886231359248,274.483238287075,17.9126995406509,687,0.469108134879552,0.687,999
"Botryosphaeria_stevensii",459,278.567473669508,275.612741240064,7.01908216919167,677,0.420957093565938,0.677,999
"Botryotinia_fuckeliana",2445,289.965574554604,275.483593670661,2.63332318242931,1000,5.49950761098105,1,999
"Botrytis_cinerea",1184,313.398141615291,275.274712538738,4.1910047746458,1000,9.09648905846817,1,999
"Botrytis_pseudocinerea",14,17.5522712087912,276.844317362957,44.0131731514467,1,-5.8912372725765,0.001,999
"Brevipalpus_californicus",197,171.478941352528,275.567463111685,11.2620299407878,1,-9.24242985557854,0.001,999
"Brevipalpus_chilensis",56,184.100731398701,276.539445771513,22.25515527995,1,-4.15358658297438,0.001,999
"Brevipalpus_lewisi",41,113.470761114634,275.519828665849,25.6141374316928,1,-6.32654790673172,0.001,999
"Cactodera_milleri",1,NA,NA,NA,NA,NA,NA,999
"Carnation_ringspot_virus",11,139.538563163636,278.800037455564,51.7841328129437,1,-2.68926921678833,0.001,999
"Ceratitis_capitata",271,193.521831359687,275.737718827332,9.87562541397376,1,-8.32513223428977,0.001,999
"Ceratitis_rosa",73,207.365158707763,274.939113536424,18.8472748339421,1,-3.58534352706352,0.001,999
"Ceresa_alta",117,169.808366336575,275.735402552666,14.7039023738871,1,-7.20400840012427,0.001,999
"Ceroplastes_actiniformis",11,221.660112272691,274.199726690025,49.0621000911435,9,-1.07087985063277,0.009,999
"Ceroplastes_cirripediformis",501,230.431454562811,275.426117784726,7.0339252448316,1,-6.39680713908291,0.001,999
"Ceroplastes_rusci",388,237.838337020878,275.151523898508,7.87486684974231,1,-4.73826257504916,0.001,999
"Ceroplastes_sinensis",29,71.6186069310345,275.813242213523,29.2701933581812,1,-6.9761970064135,0.001,999
"Cerosterna_scabrator",66,70.0076009123542,275.968281693679,19.6216040735728,1,-10.4966281048715,0.001,999
"Chaetocnema_confinis",129,197.269641547965,275.969456761228,14.3955842677432,1,-5.46694137240464,0.001,999
"Cherry_leaf_roll_virus",128,218.324942973548,276.084085119168,14.6097594129867,1,-3.95346292248163,0.001,999
"Chinavia_sp.",257,217.205598209326,276.043734550891,9.98453303410339,1,-5.89292820611601,0.001,999
"Chlidaspis_asiatica",58,54.9379205831822,275.233030361469,22.0049386182409,1,-10.011166747617,0.001,999
"Chrysomphalus_aonidum",810,307.693016130711,275.405947788292,5.59428052743113,1000,5.7714424909694,1,999
"Chrysomphalus_dictyospermi",1099,291.537851770413,275.506183563283,4.48638217088838,1000,3.5734067220484,1,999
"Chrysomphalus_pinnulifer",262,278.955152229185,275.617742920184,9.54111657878501,638,0.349792320578349,0.638,999
"Citrus_exocortis_viroid",46,159.934798107246,275.061026934834,23.7821443400141,1,-4.84086830782053,0.001,999
"Cnephasia_longana",38,157.828992338549,275.082774968065,25.6154726885192,1,-4.57745925891381,0.001,999
"Coccus_hesperidum",1298,285.515052685055,275.454478691958,4.14754614835537,994,2.42566896985273,0.994,999
"Coccus_longulus",660,229.19322781133,275.555613848887,6.02129381490951,1,-7.69973820622368,0.001,999
"Colletotrichum_acutatum",533,308.851875873511,275.048776917999,6.66130256108368,1000,5.07454790493904,1,999
"Colletotrichum_capsici",685,228.000702408153,275.409062134849,5.89247310366155,1,-8.04557931664329,0.001,999
"Colletotrichum_nymphaeae",119,223.373080094235,276.042260814179,14.9572811236022,1,-3.52130713360956,0.001,999
"Colomerus_vitis",0,NA,NA,NA,NA,NA,NA,999
"Coniella_diplodiella",84,191.177240669248,274.427875717283,17.2118372705244,1,-4.83682443306632,0.001,999
"Conogethes_punctiferalis",49,162.856000797488,276.510177202699,23.4603323971313,1,-4.84452540915865,0.001,999
"Conotrachelus_nenuphar",78,150.330408598471,274.565687103262,17.1670971740391,1,-7.23682502902502,0.001,999
"Cornu_aspersum",217,232.920360162671,275.42647098081,10.439716844107,1,-4.07157698363553,0.001,999
"Costelytra_zealandica",79,138.915927322955,275.162613257809,18.8393487054646,1,-7.23202739462717,0.001,999
"Crenulaspidiotus_lahillei",39,112.388277948718,275.777101764238,26.0908953711392,1,-6.26229270752643,0.001,999
"Criconema_mutabile",419,320.400303982847,275.376250330607,7.32495998548382,1000,6.14666206251857,1,999
"Criconemoides_sp.",572,299.147222012775,275.385756518834,6.4560915774458,999,3.68047218799545,0.999,999
"Criconemoides_xenoplax",465,309.510902056228,275.070532155184,7.11783513924253,1000,4.83860179778054,1,999
"Crocidosema_plebejana",130,171.596825979845,275.469948445384,14.4814069582963,1,-7.17286122575474,0.001,999
"Crypticerya_palmeri",15,45.8756902095238,273.451888391755,39.443281400506,1,-5.76970754211417,0.001,999
"Cryptinglisia_lounsburyi",28,137.731465730159,276.41274668046,31.2502276994718,1,-4.43776865512711,0.001,999
"Ctenopseustis_obliquana",49,185.941665231293,275.886598638172,22.4333409330561,1,-4.00943103728002,0.001,999
"Cucumber_mosaic_virus",167,234.448361475653,276.215553786146,12.6519610318808,1,-3.30124256668563,0.001,999
"Cylindrocarpon_liriodendri",57,348.128295288221,275.794947931308,20.5721014620222,999,3.51608937426475,0.999,999
"Cylindrocladiella_parva",282,342.186584311512,275.61480789276,9.29144281105804,1000,7.16484810513202,1,999
"Dactylonectria_macrodidyma",2,242.574508,274.01595029228,118.786610408139,299,-0.264688437394169,0.299,999
"Dactylonectria_pauciseptata",2,650.100056,270.258186572561,114.926181777914,968.5,3.30509430968005,0.9685,999
"Daktulosphaira_vitifoliae",34,74.1379766951872,276.298974869425,28.7804924592301,1,-7.02423693620306,0.001,999
"Deilephila_elpenor",47,213.067561803885,274.292091001877,22.830173740996,1,-2.68173733115534,0.001,999
"Diabrotica_speciosa",57,169.068789972442,276.847334790033,21.0401867938931,1,-5.12250893365996,0.001,999
"Diaporthe_cotoneastri",1038,305.285440997298,275.529310865186,4.50570049773561,1000,6.60410742948093,1,999
"Diaporthe_rudis",322,217.032536890753,274.79229014511,8.79089499994861,1,-6.57040645516695,0.001,999
"Diaspidiotus_osborni",315,200.075538486301,275.510209061685,8.92201141086073,1,-8.45489510174328,0.001,999
"Diaspidiotus_perniciosus",804,277.230424977656,275.521062621056,5.45812028339808,624,0.313177846556318,0.624,999
"Diaspidiotus_uvae",146,203.932076136703,274.606341404307,13.1651208678105,1,-5.36829596759774,0.001,999
"Diplodia_africana",1,NA,NA,NA,NA,NA,NA,999
"Diplodia_corticola",111,136.76835919312,274.589652674831,14.4475579945357,1,-9.53941790950667,0.001,999
"Ditylenchus_dipsaci",563,241.084146047115,275.460093846331,6.76400724118738,1,-5.08218672355847,0.001,999
"Ditylenchus_sp.",379,331.139615829605,275.712013545063,8.34950480907369,1000,6.63842988919614,1,999
"Dociostaurus_maroccanus",327,195.830474060637,275.581567046878,8.69348077303025,1,-9.17366645977437,0.001,999
"Drosophila_melanogaster",116,173.640117514693,274.817538569185,14.2794942198514,1,-7.08550453515608,0.001,999
"Drosophila_simulans",32,97.6392761592742,274.442913424139,27.7603507147088,1,-6.36892664224106,0.001,999
"Drosophila_suzukii",215,218.384739190405,275.221801765251,10.8870666174022,1,-5.22060391216817,0.001,999
"Duplaspidiotus_fossor",107,123.14880514054,274.965435157722,15.3162807671091,1,-9.91210805845247,0.001,999
"Duplaspidiotus_tesseratus",171,202.811697585647,275.118047802179,11.792860382334,1,-6.13136659574541,0.001,999
"Dysmicoccus_brevipes",505,265.310759366058,275.441119885677,7.07971120345428,75,-1.43090024839949,0.075,999
"Dysmicoccus_sp.",5,175.6809482,276.21592181176,72.9985892789092,2,-1.37721803400393,0.002,999
"Edwardsiana_rosae",64,158.21471427381,275.908556719025,19.9542888023604,1,-5.89817274927352,0.001,999
"Elsinoe_ampelina",68,179.874793666374,276.499139776965,19.8483284141098,1,-4.86813519479568,0.001,999
"Empoasca_decipiens",44,120.973267837209,275.985960263182,25.392292231064,1,-6.10471441551605,0.001,999
"Endoclita_signifer",123,174.166682773554,275.785240592534,14.8676184960571,1,-6.8348914014662,0.001,999
"Eotetranychus_carpini",6,23.2153574,274.413565484132,64.7014407267087,1,-3.88242062715673,0.001,999
"Epicoccum_nigrum",508,275.659351614141,275.337614580004,6.8105643019044,527,0.0472408775359638,0.527,999
"Epiphyas_postvittana",498,296.108505357489,274.916533671674,6.82238799139241,998,3.10623959126224,0.998,999
