"","my.paths","FPD","SES.FPD"
"1","Acanthacris_ruficornis",243.390168666667,-1.67392152048638
"2","Achatina_fulica",251.653738533319,-2.50876173724361
"3","Adoretus_sinicus",215.315964304593,-7.98689296411742
"4","Agriotes_lineatus",386.455034323529,15.7764269515261
"5","Agrotis_segetum",250.722045057112,-1.84213887091551
"6","Albonectria_rigidiuscula",277.168603307528,1.05901835599535
"7","Aleurocanthus_spiniferus",245.215233630952,-3.07450748631467
"8","Alfalfa_mosaic_virus",245.048248807692,-2.08519778309048
"9","Alternaria_alternata",277.049261429681,5.28899389935965
"10","Ametastegia",245.905694542017,-3.48282160449084
"11","Ampelophaga_rubiginosa",141.187866,-3.04583783674843
"12","Amphicerus_bimaculatus",242.574508,-0.256238014249146
"13","Amyelois_transitella",242.574507628571,-1.57102495788701
"14","Anacridium_rubrispinum",242.574507833333,-1.0646056563832
"15","Anastrepha_fraterculus",242.939880839623,-2.79570940833162
"16","Anomala_cuprea",310.495432666667,1.3667658642383
"17","Anomala_dubia",650.100056,5.43725645398738
"18","Aonidiella_aurantii",267.894409541049,2.30228583448383
"19","Aonidiella_inornata",259.956224145759,-0.689186645077957
"20","Aonidiella_orientalis",248.262652409906,-6.89602382122234
"21","Apate_monachus",242.61429596748,-2.96991161951597
"22","Aphis_fabae",245.882373740741,-3.76574509978016
"23","Aphis_gossypii",244.928693148936,-2.32989056943979
"24","Aphis_spiraecola",245.491386132931,-4.15832729019705
"25","Arabis_mosaic_virus",249.420882647482,-2.06907654587521
"26","Argyrotaenia_ljungiana",650.100056,4.72871039346849
"27","Armillaria_luteobubalina",255.92724841954,-1.84629323105332
"28","Armillaria_mellea",291.168910792286,11.9300024183116
"29","Artichoke_Italian_latent_virus",248.468379454545,-0.629743662380394
"30","Aspergillus_niger",259.532374311526,-0.838460179322042
"31","Aspidiotus_destructor",245.774248860746,-6.73580745504708
"32","Aspidiotus_ligusticus",245.604105619048,-1.00436010404047
"33","Aspidiotus_nerii",272.015607620303,5.17655846491767
"34","Asterococcus_muratae",243.915422664974,-3.32355343525452
"35","Asymmetrasca_decedens",242.574507746269,-2.13462140468235
"36","Autographa_gamma",243.94481836,-1.2224247318787
"37","Bactrocera_tryoni",248.597421296296,-1.43066118657352
"38","Botryosphaeria_dothidea",267.789161978358,1.06531491465866
"39","Botryosphaeria_obtusa",278.253337381894,2.62341866557918
"40","Botryosphaeria_parva",281.579771946141,3.71864828437556
"41","Botryosphaeria_stevensii",334.37181661236,11.8246018090857
"42","Botryotinia_fuckeliana",286.701134621822,9.41106233333026
