"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Acanthacris_ruficornis",43,97.336476166113,274.077502141912,23.7455557476811,1,-7.44312021389767,0.001,999
"Achatina_fulica",301,238.510257763416,274.388383866444,9.21099856499565,1,-3.8951396908664,0.001,999
"Adoretus_sinicus",175,211.956987394991,274.062422297934,11.3723412748008,1,-5.46109489701638,0.001,999
"Agriotes_lineatus",103,334.420957420141,273.860296821118,15.614607870242,1000,3.87846182896712,1,999
"Agrotis_segetum",141,217.138893358196,274.068686584834,13.2656072717268,1,-4.29153313983399,0.001,999
"Albonectria_rigidiuscula",40,287.620991097165,274.740549483689,24.2952057655935,727,0.530163923604918,0.727,999
"Aleurocanthus_spiniferus",169,201.444746028459,273.878441505296,12.3874561128027,1,-5.84734224825835,0.001,999
"Alfalfa_mosaic_virus",79,207.307986112301,274.096088779053,17.675447210147,1,-3.77858064198853,0.001,999
"Alternaria_alternata",897,303.452933514133,273.714838570668,4.74891652647584,1000,6.26207994553506,1,999
"Ametastegia",239,160.333063651841,273.759174457659,9.61047907656558,1,-11.8023367932198,0.001,999
"Ampelophaga_rubiginosa",5,160.3878562,277.799755596535,73.9513532723518,1,-1.58769101850137,0.001,999
"Amphicerus_bimaculatus",2,242.574508,273.006767184981,113.075390773853,289.5,-0.269132469732909,0.2895,999
"Amyelois_transitella",36,40.3745317031746,274.515481743207,25.9470194052846,1,-9.02380910819938,0.001,999
"Anacridium_rubrispinum",19,60.051479883041,271.499325940258,32.8476194313512,1,-6.4372350178717,0.001,999
"Anastrepha_fraterculus",107,107.276615447716,274.430047483081,14.7056526347399,1,-11.3666109343892,0.001,999
"Anomala_cuprea",7,251.583624380952,276.168982298178,62.389099032973,614,-0.394064961640684,0.614,999
"Anomala_dubia",2,650.100056,276.077324490475,120.533276770976,952.5,3.10306615342585,0.9525,999
"Aonidiella_aurantii",1511,282.504343540327,273.775997943466,3.62870288213828,991,2.40536243400497,0.991,999
"Aonidiella_inornata",241,206.294952492982,273.943373163606,10.0239916915366,1,-6.74865091196565,0.001,999
"Aonidiella_orientalis",1111,243.254291626844,273.749350643883,4.22774528362038,1,-7.2130785965717,0.001,999
"Apate_monachus",124,130.5041584107,274.078447222827,13.9081659440584,1,-10.3230209784391,0.001,999
"Aphis_fabae",271,178.724480924477,273.562343807886,9.18457528218583,1,-10.3257755497256,0.001,999
"Aphis_gossypii",95,192.523855225084,274.240736619986,15.7676776035352,1,-5.18255658503448,0.001,999
"Aphis_spiraecola",332,185.393532758927,273.609840854093,8.27854498732705,1,-10.6560160306201,0.001,999
"Arabis_mosaic_virus",140,213.171464410894,273.339420524303,13.297968543491,1,-4.5245975666606,0.001,999
"Argyrotaenia_ljungiana",2,650.100056,267.872463500502,107.024978818121,978.5,3.57138676148732,0.9785,999
"Armillaria_luteobubalina",349,233.364733593123,273.867536814305,8.04241747347141,1,-5.03614781933209,0.001,999
"Armillaria_mellea",1065,319.883914742874,273.915025118458,4.51785256159753,1000,10.1749424085147,1,999
"Artichoke_Italian_latent_virus",12,149.570393,272.724743479162,44.0334461881623,1,-2.79683652178626,0.001,999
"Aspergillus_niger",261,240.018064318676,274.201678696824,9.24841678571286,1,-3.69615850693012,0.001,999
"Aspidiotus_destructor",827,237.338128101875,273.933441858488,5.08669712373115,1,-7.19431742571893,0.001,999
"Aspidiotus_ligusticus",22,152.759959930736,273.206862970082,33.7663401406591,1,-3.56707012183155,0.001,999
"Aspidiotus_nerii",1871,290.3839492543,273.720545999869,3.18025612617214,1000,5.23964190094554,1,999
"Asterococcus_muratae",198,195.933031686662,273.705300167242,11.1175717723994,1,-6.99543660007294,0.001,999
"Asymmetrasca_decedens",68,156.752072226076,272.714774324784,18.2980909954377,1,-6.33742077944754,0.001,999
"Autographa_gamma",26,140.2046166,275.910502719774,31.3041146701579,1,-4.33508142778247,0.001,999
"Bactrocera_tryoni",55,229.507544131185,273.806407454035,20.3016175607452,1,-2.18203614516438,0.001,999
"Botryosphaeria_dothidea",417,272.513127726285,273.894149082843,7.43968536596898,439,-0.185629000236388,0.439,999
"Botryosphaeria_obtusa",200,296.134316863174,273.340470846925,10.5269351592238,974,2.16528796572636,0.974,999
"Botryosphaeria_parva",261,277.247691409877,274.073267402112,9.10212921069829,645,0.348756201354889,0.645,999
"Botryosphaeria_stevensii",179,332.0528925275,274.047440830989,11.4384709589606,1000,5.0710844049546,1,999
"Botryotinia_fuckeliana",990,320.192888193221,273.89524468759,4.67079806848969,1000,9.91214837951693,1,999
"Botryotinia_pseudofuckeliana",3,245.837152,274.674132135724,93.3444769148498,487,-0.30893075936383,0.487,999
"Botrytis_pseudocinerea",22,58.1698041255411,274.490311091177,33.1218075796336,1,-6.53105982955623,0.001,999
"Brevipalpus_californicus",123,216.781141493644,273.9072119558,14.1232215585193,1,-4.04483284677336,0.001,999
"Brevipalpus_chilensis",31,195.966236709678,274.85801529573,28.792159100402,1,-2.74004385398631,0.001,999
"Brevipalpus_lewisi",15,48.7640034285716,274.20570551349,40.8810387545097,1,-5.51457861525228,0.001,999
"Broad_bean_wilt_virus",6,229.547742866667,270.703913199025,61.3835789630411,94,-0.670475248064934,0.094,999
"Cactodera_milleri",1,NA,NA,NA,NA,NA,NA,999
"Candidatus_Phytoplasma_asteris",617,267.033217505073,273.936177973585,5.88383242539431,117,-1.17320820333343,0.117,999
"Candidatus_Phytoplasma_australiense",66,199.553789383211,275.124651998983,19.2890294506326,1,-3.91781571017787,0.001,999
"Candidatus_Phytoplasma_solani",230,205.774130772416,274.502871525816,10.4362234271587,1,-6.5855949935437,0.001,999
"Carnation_ringspot_virus",12,157.742938030303,276.586517586363,46.4389549056317,1,-2.55913553174401,0.001,999
"Ceratitis_capitata",236,217.217143132966,273.560724432078,9.80351275677438,1,-5.74728494744681,0.001,999
"Ceratitis_rosa",94,205.202647912148,273.966938824849,16.4503031636565,1,-4.18012301831744,0.001,999
"Ceresa_alta",211,161.165298591921,273.642190259844,10.7501732406714,1,-10.4627980544896,0.001,999
"Ceroplastes_actiniformis",88,104.38073326332,274.478433844585,16.5794718432766,1,-10.2595367445461,0.001,999
"Ceroplastes_cirripediformis",745,230.296908213618,273.892986450317,5.45262232805824,1,-7.99543331881997,0.001,999
"Ceroplastes_rusci",609,233.885720232008,273.67830735453,6.26615734850858,1,-6.35039704708228,0.001,999
"Ceroplastes_sinensis",39,70.513021414305,273.982260927624,25.2364683464309,1,-8.06250845879928,0.001,999
"Cerosterna_scabrator",81,73.3736594537037,275.213451483069,18.0192629833966,1,-11.2013344949428,0.001,999
"Chaetocnema_confinis",117,189.557772634247,273.774948803236,14.1690545000008,1,-5.94374001236173,0.001,999
"Cherry_leaf_roll_virus",116,211.346610143029,273.651387755439,14.4956922177389,1,-4.29815814771271,0.001,999
"Chinavia_hilaris",293,213.022426180513,273.548087376705,8.91644103863851,1,-6.78809638665357,0.001,999
