Pathogen,host_genus,host_species
Xylella_fastidiosa,Prunus,dulcis
Xylella_fastidiosa,Prunus,persica
Xylella_fastidiosa,Prunus,salicina
Xylella_fastidiosa,Quercus,ilex
Xylella_fastidiosa,Vaccinium,corymbosum
Xylella_fastidiosa,Vitis,aestivalis
Xylella_fastidiosa,Vitis,arizonica
Xylella_fastidiosa,Vitis,arizonica
Xylella_fastidiosa,Vitis,candicans
Xylella_fastidiosa,Vitis,girdiana
Xylella_fastidiosa,Vitis,munsoniana
Xylella_fastidiosa,Vitis,popenoei
Xylella_fastidiosa,Vitis,rotundifolia
Xylella_fastidiosa,Vitis,rotundifolia
Xylella_fastidiosa,Vitis,simpsonii
Xylella_fastidiosa,Vitis,tiliaefolia
Xylella_fastidiosa,Vitis,vinifera
Xylella_fastidiosa,Vitis,champinii
Xylella_fastidiosa,Vitis,rufotomentosa
Xylella_fastidiosa,Vitis,shuttleworthii
Ampeloglypter_ater,Vitis,sp.
Popillia_japonica,Acer,sp.
Popillia_japonica,Asparagus,officinalis
Popillia_japonica,Glycine,max
Popillia_japonica,Malus,sp.
Popillia_japonica,Prunus,sp.
Popillia_japonica,Prunus,domestica
Popillia_japonica,Rheum,hybridum
Popillia_japonica,Rubus,sp.
Popillia_japonica,Tilia,sp.
Popillia_japonica,Vitis,sp.
Popillia_japonica,Zea,mays
Planococcus_ficus,Beta,vulgaris
Planococcus_ficus,Mangifera,indica
Planococcus_ficus,Juglans,sp.
Planococcus_ficus,Persea,americana
Planococcus_ficus,Punica,granatum
Planococcus_ficus,Theobroma,cacao
Planococcus_ficus,Ficus,carica
Planococcus_ficus,Olea,europaea
Planococcus_ficus,Cydonia,oblonga
Planococcus_ficus,Malus,pumila
Planococcus_ficus,Solanum,lycopersicum
Planococcus_ficus,Solanum,tuberosum
Planococcus_ficus,Vitis,californica
Planococcus_ficus,Vitis,vinifera
Otiorhynchus_sulcatus,Fragaria,sp.
Otiorhynchus_sulcatus,Fragaria,ananassa
Otiorhynchus_sulcatus,Rosa,sp.
Otiorhynchus_sulcatus,Taraxacum,officinale
Otiorhynchus_sulcatus,Vaccinium,sp.
Otiorhynchus_sulcatus,Vitis,sp.
Otiorhynchus_sulcatus,Vitis,vinifera
Daktulosphaira_vitifoliae,Vitis,sp.
Greeneria_uvicola,Vitis,vinifera
Greeneria_uvicola,Vitis,aestivalis
Greeneria_uvicola,Vitis,labrusca
Greeneria_uvicola,Vitis,rotundifolia
Plasmopara_viticola,Vitaceae,Portugal
Plasmopara_viticola,Vitis,Argentina
Plasmopara_viticola,Vitis,adstricta
Plasmopara_viticola,Vitis,aestivalis
Plasmopara_viticola,Vitis,amurensis 
Plasmopara_viticola,Vitis,arizonica 
Plasmopara_viticola,Vitis,betulifolia
Plasmopara_viticola,Vitis,bicolor 
Plasmopara_viticola,Vitis,californica 
Plasmopara_viticola,Vitis,coignetiae 
Plasmopara_viticola,Vitis,cordifolia 
Plasmopara_viticola,Vitis,ficifolia 
Plasmopara_viticola,Vitis,flexuosa 
Plasmopara_viticola,Vitis,girdiana 
Plasmopara_viticola,Vitis,labrusca 
Plasmopara_viticola,Vitis,labruscana 
Plasmopara_viticola,Vitis,lanata
Plasmopara_viticola,Vitis,piasezkii 
Plasmopara_viticola,Vitis,quinquangularis 
Plasmopara_viticola,Vitis,riparia 
Plasmopara_viticola,Vitis,romanetii 
Plasmopara_viticola,Vitis,rotundifolia
Plasmopara_viticola,Vitis,rupestris 
Plasmopara_viticola,Vitis,silvestris
Plasmopara_viticola,Vitis,thunbergii 
Plasmopara_viticola,Vitis,tiliifolia 
Plasmopara_viticola,Vitis,vinifera 
Plasmopara_viticola,Vitis,vulpina 
Erysiphe_necator ,Vitis,arizonica 
Erysiphe_necator ,Vitis,flexuosa 
Erysiphe_necator ,Vitis,labrusca
Erysiphe_necator ,Vitis,vinifera
Erysiphe_necator ,Vitis,labrusca
Erysiphe_necator ,Vitis,amurensis 
Erysiphe_necator ,Vitis,coignetiae
Erysiphe_necator ,Vitis,flexuosa
Erysiphe_necator ,Vitis,thunbergii 
Guignardia_Bidwellii,Vitis,vinifera 
Guignardia_Bidwellii,Vitis,alabama
Guignardia_Bidwellii,Vitis,aestivalis 
Guignardia_Bidwellii,Vitis,berlandieri 
Guignardia_Bidwellii,Vitis,cordifolia
Guignardia_Bidwellii,Vitis,labrusca
Guignardia_Bidwellii,Vitis,labruscana
Guignardia_Bidwellii,Vitis,munsoniana
Guignardia_Bidwellii,Vitis,rotundifolia 
Guignardia_Bidwellii,Vitis,rupestris
Guignardia_Bidwellii,Vitis,vinifera
Guignardia_Bidwellii,Vitis,vulpina 
Guignardia_Bidwellii,Vitis,riparia
Guignardia_Bidwellii,Vitis,cinerea
Xylophilus_ampelinus,Vitis,vinifera
Agrobacterium_vitis,Vitis,vinifera
Pseudomonas_syringae,Actinidia,chinensis
Pseudomonas_syringae,Vitis,vinifera
Pseudomonas_syringae,Actinidia,deliciosa
Pseudopezicula_tetrsaspora,Vitis,arizonica 
Pseudopezicula_tetrsaspora,Vitis,flexuosa 
Pseudopezicula_tetrsaspora,Vitis,labrusca
Pseudopezicula_tetrsaspora,Vitis,vinifera
Pseudopezicula_tetrsaspora,Vitis,labrusca
Pseudopezicula_tetrsaspora,Vitis,amurensis 
Pseudopezicula_tetrsaspora,Vitis,coignetiae
Pseudopezicula_tetrsaspora,Vitis,flexuosa
Pseudopezicula_tetrsaspora,Vitis,thunbergii 
Mycosphaerella_angulata,Vitis,rotundifolia
Mycosphaerella_angulata,Vitis,vinifera 
Mycosphaerella_angulata,Vitis,rotundifolia
Mycosphaerella_angulata,Vitis,balanseana 
Elsinoë_ampelina,Vitis,aestivalis
Elsinoë_ampelina,Vitis,labrusca
Elsinoë_ampelina,Vitis,riparia
Elsinoë_ampelina,Vitis,rotundifolia
Elsinoë_ampelina,Vitis,vinifera 
Elsinoë_ampelina,Vitis,vulpina 
Elsinoë_ampelina,Vitis,labrusca
Elsinoë_ampelina,Vitis,labruscana
Aspergilus_niger,Vitis,rotundifolia
Aspergilus_niger,Vitis,vinifera 
Aspergilus_niger,Vitis,rotundifolia
Aspergilus_niger,Vitis,balanseana
Phaeomoniella_aleophilum,Vitis,labrusca 
Phaeomoniella_aleophilum,Vitis,vinifera
Phaeomoniella_chlamydospora,Vitis,labrusca 
Phaeomoniella_chlamydospora,Vitis,vinifera
Phomopsis_viticola,Vitis,aestivalis
Phomopsis_viticola,Vitis,labrusca
Phomopsis_viticola,Vitis,rotundifolia
Phomopsis_viticola,Vitis,vinifera 
Pseudocercospora_vitis,Vitis,cordifolia
Pseudocercospora_vitis,Vitis,labrusca
Pseudocercospora_vitis,Vitis,palmata
Pseudocercospora_vitis,Vitis,vinifera
Pseudocercospora_vitis,Vitis,rupestris
Pseudocercospora_vitis,Vitis,silvestris
Pseudocercospora_vitis,Vitis,amurensis
Pseudocercospora_vitis,Vitis,piasezkii
Pseudocercospora_vitis,Vitis,californica
Pseudocercospora_vitis,Vitis,rotundifolia
Pseudocercospora_vitis,Vitis,rupestris
Pseudocercospora_vitis,Vitis,vulpina
Pseudocercospora_vitis,Vitis,aestivalis
Pseudocercospora_vitis,Vitis,amurensis
Pseudocercospora_vitis,Vitis,cordifolia
Pseudocercospora_vitis,Vitis,davidii
Tylenchulus_semipenetrans,Citrus,sp.
Tylenchulus_semipenetrans,Citrus,aurantiifolia
Tylenchulus_semipenetrans,Citrus,reticulata
Tylenchulus_semipenetrans,Citrus,sinensis
Tylenchulus_semipenetrans,Cydonia,oblonga
Tylenchulus_semipenetrans,Justicia,adhatoda
Tylenchulus_semipenetrans,Olea,europaea
Tylenchulus_semipenetrans,Philadelphus,coronarius
Tylenchulus_semipenetrans,Poncirus,trifoliata
Tylenchulus_semipenetrans,Punica,granatum
Tylenchulus_semipenetrans,Vitis,vinifera
Xiphinema_index,Anacardium,occidentale
Xiphinema_index,Chenopodium,quinoa
Xiphinema_index,Citrus,sp.
Xiphinema_index,Citrus,aurantium
Xiphinema_index,Cydonia,oblonga
Xiphinema_index,Ficus,carica
Xiphinema_index,Gomphrena,globosa
Xiphinema_index,Juglans,regia
Xiphinema_index,Malus,domestica
Xiphinema_index,Malus,sylvestris
Xiphinema_index,Morus,alba
Xiphinema_index,Olea,europaea
Xiphinema_index,Phaseolus,vulgaris
Xiphinema_index,Pistacia,vera
Xiphinema_index,Prunus,amygdalus
Xiphinema_index,Prunus,armeniaca
Xiphinema_index,Prunus,avium
Xiphinema_index,Prunus,domestica
Xiphinema_index,Prunus,salicina
Xiphinema_index,Pyrus,communis
Xiphinema_index,Pyrus,persica
Xiphinema_index,Solanum,lycopersicum
Xiphinema_index,Solanum,tuberosum
Xiphinema_index,Vitis,vinifera
Meloidogyne_arenaria,Abelmoschus,esculentus
Meloidogyne_arenaria,Actinidia,deliciosa
Meloidogyne_arenaria,Arachis,hypogaea
Meloidogyne_arenaria,Avena,sativa
Meloidogyne_arenaria,Capsicum,frutescens
Meloidogyne_arenaria,Citrullus,lanatus
Meloidogyne_arenaria,Coffea,arabica
Meloidogyne_arenaria,Cucumis,sativus
Meloidogyne_arenaria,Cucurbita,pepo
Meloidogyne_arenaria,Daucus,carota
Meloidogyne_arenaria,Dioscorea,alata
Meloidogyne_arenaria,Dioscorea,cayenensis
Meloidogyne_arenaria,Glycine,max
Meloidogyne_arenaria,Hordeum,vulgare
Meloidogyne_arenaria,Ipomoea,batatas
Meloidogyne_arenaria,Lactuca,sativa
Meloidogyne_arenaria,Malus,domestica
Meloidogyne_arenaria,Medicago,sativa
Meloidogyne_arenaria,Morinda,citrifolia
Meloidogyne_arenaria,Musa,sp.
Meloidogyne_arenaria,Olea,europaea
Meloidogyne_arenaria,Oryza,sativa
Meloidogyne_arenaria,Passiflora,edulis
Meloidogyne_arenaria,Petroselinum,crispum
Meloidogyne_arenaria,Phaseolus,vulgaris
Meloidogyne_arenaria,Phoenix,dactylifera
Meloidogyne_arenaria,Pisum,sativum
Meloidogyne_arenaria,Prunus,persica
Meloidogyne_arenaria,Psidium,guajava
Meloidogyne_arenaria,Raphanus,sativus
Meloidogyne_arenaria,Saccharum,officinarum
Meloidogyne_arenaria,Solanum,lycopersicum
Meloidogyne_arenaria,Solanum,tuberosum
Meloidogyne_arenaria,Vigna,unguiculata
Meloidogyne_arenaria,Vitis,vinifera
Meloidogyne_arenaria,Zea,mays
Meloidogyne_hapla,Actinidia,chinensis
Meloidogyne_hapla,Allium,cepa
Meloidogyne_hapla,Arachis,hypogaea
Meloidogyne_hapla,Beta,sp.
Meloidogyne_hapla,Brassica,oleracea
Meloidogyne_hapla,Cajanus,cajan
Meloidogyne_hapla,Camellia,sinensis
Meloidogyne_hapla,Capsicum,annuum
Meloidogyne_hapla,Chenopodium,quinoa
Meloidogyne_hapla,Coffea,sp.
Meloidogyne_hapla,Cucumis,sp.
Meloidogyne_hapla,Cyclamen,sp.
Meloidogyne_hapla,Dioscorea,batatas
Meloidogyne_hapla,Fragaria,ananassa
Meloidogyne_hapla,Glycine,max
Meloidogyne_hapla,Lactuca,sativa
Meloidogyne_hapla,Linum,usitatissimum
Meloidogyne_hapla,Medicago,sativa
Meloidogyne_hapla,Olea,europaea
Meloidogyne_hapla,Phaseolus,sp.
Meloidogyne_hapla,Raphanus,sativus
Meloidogyne_hapla,Rubus,sp.
Meloidogyne_hapla,Sinapis,alba
Meloidogyne_hapla,Solanum,lycopersicum
Meloidogyne_hapla,Solanum,tuberosum
Meloidogyne_hapla,Vitis,vinifera
Meloidogyne_incognita,Abelmoschus,esculentus
Meloidogyne_incognita,Actinidia,deliciosa
Meloidogyne_incognita,Agave,sp.
Meloidogyne_incognita,Aloe,vera
Meloidogyne_incognita,Anacardium,occidentale
Meloidogyne_incognita,Ananas,comosus
Meloidogyne_incognita,Anethum,graveolens
Meloidogyne_incognita,Asparagus,officinalis
Meloidogyne_incognita,Basella,alba
Meloidogyne_incognita,Bertholletia,excelsa
Meloidogyne_incognita,Beta,vulgaris
Meloidogyne_incognita,Canna,sp.
Meloidogyne_incognita,Capsicum,annuum
Meloidogyne_incognita,Cocos,nucifera
Meloidogyne_incognita,Coffea,Sp.
Meloidogyne_incognita,Coffea,arabica
Meloidogyne_incognita,Coffea,canephora
Meloidogyne_incognita,Colocasia,sp.
Meloidogyne_incognita,Coriandrum,sativum
Meloidogyne_incognita,Cucumis,anguria
Meloidogyne_incognita,Cucumis,melo
Meloidogyne_incognita,Cucumis,sativus
Meloidogyne_incognita,Cucurbitaceae,Sp.
Meloidogyne_incognita,Curcuma,longa
Meloidogyne_incognita,Dioscorea,alata
Meloidogyne_incognita,Dioscorea,batatas
Meloidogyne_incognita,Dioscorea,cayenensis
Meloidogyne_incognita,Dioscorea,rotundata
Meloidogyne_incognita,Helianthus,annuus
Meloidogyne_incognita,Ipomoea,batatas
Meloidogyne_incognita,Jacquemontia,pentantha
Meloidogyne_incognita,Juglans,sp.
Meloidogyne_incognita,Lactuca,sativa
Meloidogyne_incognita,Mangifera,indica
Meloidogyne_incognita,Morus,nigra
Meloidogyne_incognita,Musa,Sp.
Meloidogyne_incognita,Oenanthe,javanica
Meloidogyne_incognita,Olea,europaea
Meloidogyne_incognita,Oryza,sativa
Meloidogyne_incognita,Passiflora,edulis
Meloidogyne_incognita,Phaseolus,vulgaris
Meloidogyne_incognita,Phyla,nodiflora
Meloidogyne_incognita,Piper,nigrum
Meloidogyne_incognita,Prunus,sp.
Meloidogyne_incognita,Prunus,domestica
Meloidogyne_incognita,Prunus,persica
Meloidogyne_incognita,Prunus,salicina
Meloidogyne_incognita,Psophocarpus,tetragonolobus
Meloidogyne_incognita,Punica,granatum
Meloidogyne_incognita,Rosmarinus,officinalis
Meloidogyne_incognita,Saccharum,officinarum
Meloidogyne_incognita,Solanum,lycopersicum
Meloidogyne_incognita,Solanum,tuberosum
Meloidogyne_incognita,Spinacia,oleracea
Meloidogyne_incognita,Vigna,mungo
Meloidogyne_incognita,Vigna,radiata
Meloidogyne_incognita,Viola,pilosa
Meloidogyne_incognita,Vitis,vinifera
Meloidogyne_incognita,Zea,mays
Meloidogyne_javanica,Abelmoschus,esculentus
Meloidogyne_javanica,Ananas,comosus
Meloidogyne_javanica,Anthemis,sp.
Meloidogyne_javanica,Apium,graveolens
Meloidogyne_javanica,Basella,alba
Meloidogyne_javanica,Beta,vulgaris
Meloidogyne_javanica,Camellia,sinensis
Meloidogyne_javanica,Cannabis,sativa
Meloidogyne_javanica,Capsicum,annuum
Meloidogyne_javanica,Carissa,macrocarpa
Meloidogyne_javanica,Citrullus,lanatus
Meloidogyne_javanica,Coleus,forskohlii
Meloidogyne_javanica,Cucumis,melo
Meloidogyne_javanica,Cucurbitaceae,sp.
Meloidogyne_javanica,Dioscorea,sp.
Meloidogyne_javanica,Euphorbia,prostrata
Meloidogyne_javanica,Fragaria,ananassa
Meloidogyne_javanica,Helianthus,tuberosus
Meloidogyne_javanica,Ipomoea,batatas
Meloidogyne_javanica,Musa,sp.
Meloidogyne_javanica,Olea,europaea
Meloidogyne_javanica,Oryza,sativa
Meloidogyne_javanica,Passiflora,edulis
Meloidogyne_javanica,Pisum,sativum
Meloidogyne_javanica,Plukenetia,volubilis
Meloidogyne_javanica,Prunus,domestica
Meloidogyne_javanica,Prunus,salicina
Meloidogyne_javanica,Psidium,guajava
Meloidogyne_javanica,Rosmarinus,officinalis
Meloidogyne_javanica,Saccharum,officinarum
Meloidogyne_javanica,Sesamum,indicum
Meloidogyne_javanica,Solanum,lycopersicum
Meloidogyne_javanica,Solanum,tuberosum
Meloidogyne_javanica,Vitis,vinifera
Meloidogyne_javanica,Zingiber,officinale
Helicotylenchus_pseudorobustus,Actinidia,chinensis
Helicotylenchus_pseudorobustus,Allium,cepa
Helicotylenchus_pseudorobustus,Allium,sativum
Helicotylenchus_pseudorobustus,Avena,sativa
Helicotylenchus_pseudorobustus,Camellia,sinensis
Helicotylenchus_pseudorobustus,Carica,papaya
Helicotylenchus_pseudorobustus,Cucumis,melo
Helicotylenchus_pseudorobustus,Elaeis,guineensis
Helicotylenchus_pseudorobustus,Fragaria,ananassa
Helicotylenchus_pseudorobustus,Glycine,max
Helicotylenchus_pseudorobustus,Helianthus,annuus
Helicotylenchus_pseudorobustus,Hordeum,vulgare
Helicotylenchus_pseudorobustus,Lactuca,sativa
Helicotylenchus_pseudorobustus,Linum,usitatissimum
Helicotylenchus_pseudorobustus,Mentha,spicata
Helicotylenchus_pseudorobustus,Musa,sp.
Helicotylenchus_pseudorobustus,Oryza,sativa
Helicotylenchus_pseudorobustus,Pastinaca,sativa
Helicotylenchus_pseudorobustus,Persea,americana
Helicotylenchus_pseudorobustus,Vitis,vinifera
Grapevine Leafroll_Associated Viruses,Vitis,sp.
closterovirus ,Vitis,sp.
TomRSV,Chenopodium,amaranticolor
TomRSV,Chenopodium,quinoa
TomRSV,Cucumis,sativus
TomRSV,Lycopersicon,esculentum
TomRSV,Nicotiana,tabacum
TomRSV,Petunia,hybrida
TomRSV,Phaseolus ,vulgaris
Grapevinephytoplasma_diseases,Vitis,sp.
Sourrot_yeasts,Vitis,sp.
Sourrot_yeasts,Citrus,sp.
Sourrot_yeasts,Medicago,sativa
