Pathogen,host_genus,host_species
Calosphaeria_alnicola,Alnus,sp.
Calosphaeria_alnicola,Calosphaeria,minima
Calosphaeria_alnicola,Cornus,alternifolia
Calosphaeria_alnicola,Fagus,sylvatica
Calosphaeria_alnicola,Galium,sp.
Calosphaeria_alnicola,Prunus,sp.
Calosphaeria_alnicola,Prunus,spinosa
Calosphaeria_alnicola,Salix,sp.
Erostella_minima,Populus,tremula
Phaeoacremonium_aleophilum,Actinidia,chinensis
Phaeoacremonium_aleophilum,Actinidia,deliciosa
Phaeoacremonium_aleophilum,Cupressus,sempervirens
Phaeoacremonium_aleophilum,Cydonia,oblonga
Phaeoacremonium_aleophilum,Malus,domestica
Phaeoacremonium_aleophilum,Malus,sp.
Phaeoacremonium_aleophilum,Olea,europaea
Phaeoacremonium_aleophilum,Phoenix,dactylifera
Phaeoacremonium_aleophilum,Prunus,armeniaca
Phaeoacremonium_aleophilum,Prunus,pennsylvanica
Phaeoacremonium_aleophilum,Prunus,persica
Phaeoacremonium_aleophilum,Prunus,salicina
Phaeoacremonium_aleophilum,Pyrus,communis
Phaeoacremonium_aleophilum,Pyrus,sp.
Phaeoacremonium_aleophilum,Salix,alba
Phaeoacremonium_aleophilum,Vitis,sp.
Phaeoacremonium_aleophilum,Vitis,vinifera
Phaeoacremonium_minimum,Actinidia,chinensis
Phaeoacremonium_minimum,Actinidia,deliciosa
Phaeoacremonium_minimum,Alnus,glutinosa
Phaeoacremonium_minimum,Brabejum,stellatifolium
Phaeoacremonium_minimum,Cupressus,sempervirens
Phaeoacremonium_minimum,Cydonia,oblonga
Phaeoacremonium_minimum,Diospyros,kaki
Phaeoacremonium_minimum,Eriobotrya,japonica
Phaeoacremonium_minimum,Gleditsia,caspia
Phaeoacremonium_minimum,Malus,domestica
Phaeoacremonium_minimum,Morus,sp.
Phaeoacremonium_minimum,Olea,europaea
Phaeoacremonium_minimum,Parrotia,persica
Phaeoacremonium_minimum,Phoenix,dactylifera
Phaeoacremonium_minimum,Prunus,armeniaca
Phaeoacremonium_minimum,Prunus,dulcis
Phaeoacremonium_minimum,Prunus,pennsylvanica
Phaeoacremonium_minimum,Prunus,persica
Phaeoacremonium_minimum,Prunus,salicina
Phaeoacremonium_minimum,Psidium,guajava
Phaeoacremonium_minimum,Punica,granatum
Phaeoacremonium_minimum,Pyrus,communis
Phaeoacremonium_minimum,Rosa,sp.
Phaeoacremonium_minimum,Salix,alba
Phaeoacremonium_minimum,Salix,sp.
Phaeoacremonium_minimum,Schinus,molle
Phaeoacremonium_minimum,Vitis,labrusca
Phaeoacremonium_minimum,Vitis,vinifera
Pleurostoma_minimum,Fagus,sylvatica
Pleurostoma_minimum,Toddalia,asiatica
Togninia_minima,Actinidia,chinensis
Togninia_minima,Alnus,sp.
Togninia_minima,Berberis,vulgaris
Togninia_minima,Ligustrum,vulgare
Togninia_minima,Prunus,armeniaca
Togninia_minima,Prunus,pennsylvanica
Togninia_minima,Prunus,persica
Togninia_minima,Prunus,salicina
Togninia_minima,Salix,sp.
Togninia_minima,Vitis,vinifera
Xylella_fastidiosa,Arabidopsis,thaliana
Xylella_fastidiosa,Citrus,celebica
Xylella_fastidiosa,Citrus,clementina
Xylella_fastidiosa,Citrus,jambhiri
Xylella_fastidiosa,Citrus,junos
Xylella_fastidiosa,Citrus,latifolia
Xylella_fastidiosa,Citrus,limettioides
Xylella_fastidiosa,Citrus,limon
Xylella_fastidiosa,Citrus,medica
Xylella_fastidiosa,Citrus,natsudaidai
Xylella_fastidiosa,Citrus,paradisi
Xylella_fastidiosa,Citrus,reticulata
Xylella_fastidiosa,Citrus,sinensis
Xylella_fastidiosa,Citrus,tangerina
Xylella_fastidiosa,Coffea,arabica
Xylella_fastidiosa,Fortunella,margarita
Xylella_fastidiosa,Olea,europaea
Xylella_fastidiosa,Platanus,sp.
Xylella_fastidiosa,Poncirus,trifoliata
Xylella_fastidiosa,Prunus,angustifolia
Xylella_fastidiosa,Prunus,armeniaca
Xylella_fastidiosa,Prunus,avium
Xylella_fastidiosa,Prunus,cerasus
Xylella_fastidiosa,Prunus,domestica
