NgenusNspec	PgenusPspec
Mesocriconema axeste	Rosa sp. L.
Mesocriconema caelatum	Mesembryanthemum sp. L.
Mesocriconema citri; Mesocriconema sphaerocephalum	Citrus aurantium L.
Mesocriconema citri; Mesocriconema sphaerocephalum	Citrus limon Burm.
Mesocriconema citri; Mesocriconema sphaerocephalum	Cynodon dactylon Pers.
Mesocriconema citri; Mesocriconema sphaerocephalum	Grewia asiatica L.
Mesocriconema citri; Mesocriconema sphaerocephalum	Mangifera indica L.
Mesocriconema citri; Mesocriconema sphaerocephalum	Musa X paradisiaca L.
Mesocriconema curvatum	Antirrhinum sp. L.
Mesocriconema curvatum	Arundinaria sp.
Mesocriconema curvatum	Avena sativa L.
Mesocriconema curvatum	Begonia sp.
Mesocriconema curvatum	Dianthus caryophyllus L.
Mesocriconema curvatum	Fragaria X ananassa Duchesne ex Rozier
Mesocriconema curvatum	Lupinus sp. L.
Mesocriconema curvatum	Malus sylvestris Mill.
Mesocriconema curvatum	Mangifera indica L.
Mesocriconema curvatum	Medicago sativa L.
Mesocriconema curvatum	Phaseolus vulgaris L.
Mesocriconema curvatum	Prunus sp. L.
Mesocriconema curvatum	Quercus robur L.
Mesocriconema curvatum	Trifolium pratense L.
Mesocriconema curvatum	Vaccinium macrocarpon Ait.
Mesocriconema dherdei	Pyrus communis L.
Mesocriconema ferniae	Ananas comosus (L.) Merr.
Mesocriconema kirjanovae	Carya sp.
Mesocriconema lobatum; Mesocriconema rusticum	Abies balsamea Mill.
Mesocriconema lobatum; Mesocriconema rusticum	Allium sativum L.
Mesocriconema lobatum; Mesocriconema rusticum	Bambusa sp. Schreber.
Mesocriconema lobatum; Mesocriconema rusticum	Fragaria X ananassa Duchesne ex Rozier
Mesocriconema lobatum; Mesocriconema rusticum	Iris sp. L.
Mesocriconema lobatum; Mesocriconema rusticum	Medicago sativa L.
Mesocriconema lobatum; Mesocriconema rusticum	Taxus canadensis
Mesocriconema lobatum; Mesocriconema rusticum	Thuja occidentalis L.
Mesocriconema lobatum; Mesocriconema rusticum	Trifolium pratense L.
Mesocriconema lobatum; Mesocriconema rusticum	Triticum aestivum L.
Mesocriconema nainitalense; Mesocriconema xenoplax	Prunus cerasoides D. Don
Mesocriconema obtusicaudatum	Vigna unguiculata Van Eselt. ex Verdc.; Vigna sinensis
Mesocriconema obtusicaudatum	Zea mays L.
Mesocriconema onoense	Acer saccharinum L.
Mesocriconema onoense	Ananas comosus (L.) Merr.
Mesocriconema onoense	Crotalaria longithyrsa E.G. Baker
Mesocriconema onoense	Cynodon dactylon Pers.
Mesocriconema onoense	Cyperus iria
Mesocriconema onoense	Ipomoea batatas Lam.
Mesocriconema onoense	Oryza glaberrima
Mesocriconema onoense	Oryza sativa L.
Mesocriconema onoense	Paspalum hydrophilum
Mesocriconema onoense	Paspalum scrobiculatum
Mesocriconema onoense	Saccharum officinarum L.
Mesocriconema onoense	Sorghum bicolor Moench. X S. arundinaceum
Mesocriconema onoense	Theobroma cacao L.
Mesocriconema ornatum	Arachis hypogaea L.
Mesocriconema ornatum	Cicer arietinum L.
Mesocriconema ornatum	Cynodon dactylon Pers.
Mesocriconema ornatum	Cynodon dactylon Pers. X C. transvaalensis
Mesocriconema ornatum	Eremochloa ophiuroides Hack.
Mesocriconema ornatum	Glycine max (L.) Merr.
Mesocriconema ornatum	Gossypium hirsutum L.
Mesocriconema ornatum	Gossypium sp. L.
Mesocriconema ornatum	Nicotiana tabacum L.
Mesocriconema ornatum	Panicum virgatum L.
Mesocriconema ornatum	Pennisetum purpureum Schumach.
Mesocriconema ornatum	Saccharum sp. L.
Mesocriconema ornatum	Secale cereale L.
Mesocriconema ornatum	Stenotaphrum secundatum Kuntze.
Mesocriconema ornatum	Vaccinium sp. L.
Mesocriconema ornatum	Zea mays L.
Mesocriconema ornatum	Zoysia matrella Merr.
Mesocriconema ornicauda	Panicum rigidulum Bosc ex Nees
Mesocriconema ozarkiensis	Paspalum sp.
Mesocriconema paronostre	Cicer arietinum L.
Mesocriconema rusticum	Agropyron repens Beauvois
Mesocriconema rusticum	Agrostis tenuis Sibth.
Mesocriconema rusticum	Arrhenatherum elatius Mert. & Koch.
Mesocriconema rusticum	Avena fatua L.
Mesocriconema rusticum	Avena sativa L.
Mesocriconema rusticum	Bambusa sp. Schreber.
Mesocriconema rusticum	Briza maxima L.
Mesocriconema rusticum	Bromus inermis Leyss.
Mesocriconema rusticum	Bromus secalinus L.
Mesocriconema rusticum	Bromus tectorum
Mesocriconema rusticum	Dactylis glomerata L.
Mesocriconema rusticum	Digitaria sanguinalis Scop.
Mesocriconema rusticum	Echinochloa crus-galli Beauv.
Mesocriconema rusticum	Echinochloa pungens
Mesocriconema rusticum	Elymus virginicus L.
Mesocriconema rusticum	Eragrostis pectinacea Nees
Mesocriconema rusticum	Glyceria striata Hitch.
Mesocriconema rusticum	Hordeum jubatum L.
Mesocriconema rusticum	Hystrix patula
Mesocriconema rusticum	Juglans sp.
Mesocriconema rusticum	Leersia oryzoides Swartz
Mesocriconema rusticum	Lolium multiflorum Lam.
Mesocriconema rusticum	Lotus corniculatus L.
Mesocriconema rusticum	Medicago sativa L.
Mesocriconema rusticum	Oryza sativa L.
Mesocriconema simile	Glycine max (L.) Merr.
Mesocriconema simile	Prunus persica C.K. Schneid.
Mesocriconema simile	Vitis sp. L.
Mesocriconema solivagum	Quercus robur L.
Mesocriconema sphaerocephala	Cicer arietinum L.
Mesocriconema sphaerocephala	Citrus sp.
Mesocriconema sphaerocephala	Glycine max (L.) Merr.
Mesocriconema sphaerocephala	Hemerocallis sp. L.
Mesocriconema sphaerocephala	Mangifera indica L.
Mesocriconema sphaerocephala	Musa acuminata Colla
Mesocriconema sphaerocephala	Pennisetum purpureum Schumach.
Mesocriconema sphaerocephala	Pennisetum sp. L.
Mesocriconema sphaerocephala	Saccharum sp. L.
Mesocriconema sphaerocephala	Secale cereale L.
Mesocriconema sphaerocephala	Sorghum bicolor Moench.
Mesocriconema sphaerocephala	Vicia villosa Roth.
Mesocriconema sphaerocephala	Zea mays L.
Mesocriconema surinamense	Acer saccharinum L.
Mesocriconema teres	Juglans sp.
