NgenusNspec	PgenusPspec
Mesocriconema teres	Prunus domestica L.
Mesocriconema teres	Quercus sp. L.
Mesocriconema vadense	Pinus sp. L.
Mesocriconema xenoplax	Abies sp. Mill.
Mesocriconema xenoplax	Acer rubrum L.
Mesocriconema xenoplax	Acer sp. L.
Mesocriconema xenoplax	Agropyron smithii Rydb.
Mesocriconema xenoplax	Arctostaphylos sp. Adans.
Mesocriconema xenoplax	Arundinaria sp.
Mesocriconema xenoplax	Aucuba sp. Thunb.
Mesocriconema xenoplax	Avena strigosa Schreb.
Mesocriconema xenoplax	Axonopus compressus (Schwartz) Beauvois.
Mesocriconema xenoplax	Bambusa sp. Schreber.
Mesocriconema xenoplax	Bellis sp. L.
Mesocriconema xenoplax	Bidens pilosa L.
Mesocriconema xenoplax	Brachiaria platyphylla Nash.
Mesocriconema xenoplax	Bromus mollis L.
Mesocriconema xenoplax	Buxus sempervirens L.
Mesocriconema xenoplax	Camellia sp. L.
Mesocriconema xenoplax	Carya illinoinensis Koch.
Mesocriconema xenoplax	Cassia fasciculata Michaux.; Chamaecrista fasciculata
Mesocriconema xenoplax	Cassia obtusifolia; Senna obtusifolia
Mesocriconema xenoplax	Chrysanthemum sp. L.
Mesocriconema xenoplax	Citrus limon Burm.
Mesocriconema xenoplax	Citrus sinensis (L.) Osbeck
Mesocriconema xenoplax	Citrus sp.
Mesocriconema xenoplax	Citrus X paradisi
Mesocriconema xenoplax	Crotalaria juncea L.
Mesocriconema xenoplax	Cucurbita sp. L.
Mesocriconema xenoplax	Cynodon dactylon Pers.
Mesocriconema xenoplax	Dactylis glomerata L.
Mesocriconema xenoplax	Dahlia sp.
Mesocriconema xenoplax	Daphne sp. L.
Mesocriconema xenoplax	Dianthus caryophyllus L.
Mesocriconema xenoplax	Eleusine indica Gaertn.
Mesocriconema xenoplax	Elymus wawawaiensis
Mesocriconema xenoplax	Eremochloa ophiuroides Hack.
Mesocriconema xenoplax	Eriobotrya japonica Lindl.
Mesocriconema xenoplax	Festuca megalura Nutt.
Mesocriconema xenoplax	Festuca ovina L.
Mesocriconema xenoplax	Fuchsia sp. L.
Mesocriconema xenoplax	Geranium carolinianum L.
Mesocriconema xenoplax	Glycine max (L.) Merr.
Mesocriconema xenoplax	Ilex cornuta Lindl. & Paxt
Mesocriconema xenoplax	Ilex crenata Thunb.
Mesocriconema xenoplax	Ipomoea purpurea (L.) Roth.
Mesocriconema xenoplax	Juglans hindsii (Jepson) R.E.Smith
Mesocriconema xenoplax	Juglans regia L.
Mesocriconema xenoplax	Juglans sp.
Mesocriconema xenoplax	Juniperus sp. L.
Mesocriconema xenoplax	Lespedeza striata Hook. & Arn.
Mesocriconema xenoplax	Lilium sp. L.
Mesocriconema xenoplax	Lolium multiflorum Lam.
Mesocriconema xenoplax	Lolium perenne L.
Mesocriconema xenoplax	Lotus corniculatus L.
Mesocriconema xenoplax	Lotus pedunculatus Cav.
Mesocriconema xenoplax	Lotus tenuis Waldst. & Kit.
Mesocriconema xenoplax	Magnolia tripetala L.
Mesocriconema xenoplax	Malus sylvestris Mill.
Mesocriconema xenoplax	Mangifera indica L.
Mesocriconema xenoplax	Mentha piperita L.
Mesocriconema xenoplax	Morus sp. L.
Mesocriconema xenoplax	Musa sp. L.
Mesocriconema xenoplax	Olea europaea L.
Mesocriconema xenoplax	Oryza sativa L.
Mesocriconema xenoplax	Palmaceae sp.
Mesocriconema xenoplax	Parthenium argentatum Gray
Mesocriconema xenoplax	Paspalum notatum Flugge.
Mesocriconema xenoplax	Prunus sp. L.
Mesocriconema xenoplax	Vitis vinifera L.
Mesocriconema xenoplax	Pinus clausa
Mesocriconema xenoplax	Pinus echinata Mill.
Mesocriconema xenoplax	Pinus elliottii Engelm.
Mesocriconema xenoplax	Pinus rigida Mill.
Mesocriconema xenoplax	Pinus serotina
Mesocriconema xenoplax	Pinus taeda L.
Mesocriconema xenoplax	Pinus virginiana Mill.
Mesocriconema xenoplax	Pistacia atlantica Desf. X P. integerrima
Mesocriconema xenoplax	Plantago lanceolata L.
Mesocriconema xenoplax	Polypodiaceae sp.
Mesocriconema xenoplax	Portulaca oleracea L.
Mesocriconema xenoplax	Prunus armeniaca L.
Mesocriconema xenoplax	Prunus avium L.
Mesocriconema xenoplax	Prunus cerasifera Ehrh.
Mesocriconema xenoplax	Prunus cerasifera Ehrh. X P. munsoniana
Mesocriconema xenoplax	Prunus cerasus L.
Mesocriconema xenoplax	Prunus communis L.
Mesocriconema xenoplax	Prunus domestica L.
Mesocriconema xenoplax	Prunus dulcis D.A. Webb
Mesocriconema xenoplax	Prunus kansuensis
Mesocriconema xenoplax	Prunus persica Batsch.
Mesocriconema xenoplax	Prunus persica Batsch. X P. dulcis
Mesocriconema xenoplax	Prunus persica C.K. Schneid.
Mesocriconema xenoplax	Prunus subcordata X P. domestica
Mesocriconema xenoplax	Quercus robur L.
Mesocriconema xenoplax	Quercus sp. L.
Mesocriconema xenoplax	Rhododendron sp. L.
Mesocriconema xenoplax	Robinia sp. L.
Mesocriconema xenoplax	Rosa sp. L.
Mesocriconema xenoplax	Saccharum officinarum L.
Mesocriconema xenoplax	Salix sp. L.
Mesocriconema xenoplax	Schedonorus arundinaceus (Schreb.) Dumont; Festuca arundinacea Schreb.
Mesocriconema xenoplax	Sida rhombifolia L.
Mesocriconema xenoplax	Solanum lycopersicum L.
Mesocriconema xenoplax	Sorghum bicolor Moench.
Mesocriconema xenoplax	Sorghum vulgare Pers.
Mesocriconema xenoplax	Strelitzia sp. Ait.
Mesocriconema xenoplax	Syringa sp. L.
Mesocriconema xenoplax	Tagetes erecta L.
Mesocriconema xenoplax	Tagetes patula L.
Mesocriconema xenoplax	Taraxacum sp. Wiggers
Mesocriconema xenoplax	Taxus sp. L.
Mesocriconema xenoplax	Trifolium hirtum All.
Mesocriconema xenoplax	Trifolium nigrescens Viv.
Mesocriconema xenoplax	Trifolium subterraneum L.
Mesocriconema xenoplax	Ulmus americana L.
Mesocriconema xenoplax	Ulmus sp. L.
Mesocriconema xenoplax	Umbellularia californica Nutt.
Mesocriconema xenoplax	Vaccinium macrocarpon Ait.
Mesocriconema xenoplax	Viburnum sp. L.
Mesocriconema xenoplax	Vicia sativa L.
Mesocriconema xenoplax	Vitis berlandieri Planch. X V. riparia Michx.
Mesocriconema xenoplax	Vitis berlandieri Planch. X V. rupestris
Mesocriconema xenoplax	Vitis champinii
Mesocriconema xenoplax	Vitis champinii (Ramsay) x V. champinii (c9021) x V. riparia
Mesocriconema xenoplax	Vitis doaniana
Mesocriconema xenoplax	Vitis labrusca L.
Mesocriconema xenoplax	Vitis riparia
Mesocriconema xenoplax	Vitis riparia X V. rupestris
Mesocriconema xenoplax	Vitis rufotomentosa x V. champinii (Dog Ridge) x V. champinii (c9038) x V. riparia
Mesocriconema xenoplax	Vitis rufotomentosa x V. champinii x V. riparia
Mesocriconema xenoplax	Vitis rupestris
Mesocriconema xenoplax	Vitis rupestris x Muscadinia rotundifolia
Mesocriconema xenoplax	Vitis simpsoni X M. rotundifolia
Mesocriconema xenoplax	Vitis solonis X othello 1613
Mesocriconema xenoplax	Vitis solonis X riparia
Mesocriconema xenoplax	Vitis sp. L.
Mesocriconema xenoplax	Vitis vinifera L. X V. rupestris
Mesocriconema rusticum	Panicum capillare L.
Mesocriconema rusticum	Panicum miliaceum L.
Mesocriconema rusticum	Phalaris arundinacea L.
Mesocriconema rusticum	Phalaris canariensis L.
Mesocriconema rusticum	Phleum pratense L.
Mesocriconema rusticum	Pinus echinata Mill.
Mesocriconema rusticum	Poa nemoralis L.
Mesocriconema rusticum	Poa pratensis L.
Mesocriconema rusticum	Prunus domestica L.
Mesocriconema rusticum	Setaria glauca
Mesocriconema rusticum	Setaria viridis (L.) Beauv.
Mesocriconema rusticum	Trifolium pratense L.
Mesocriconema rusticum	Trifolium repens L.
Mesocriconema rusticum	Triticum aestivum L.
Mesocriconema rusticum	Vitis vinifera L.
Mesocriconema rusticum	Zea mays L.
Mesocriconema siculum	Olea europaea L.
