NgenusNspec	PgenusPspec
Xiphinema americanum	Lolium multiflorum Lam.
Xiphinema americanum	Macadamia sp. F. J. Muell.
Xiphinema americanum	Magnolia sp. L.
Xiphinema americanum	Malus sylvestris Mill.
Xiphinema americanum	Mangifera indica L.
Xiphinema americanum	Medicago sativa L.
Xiphinema americanum	Mentha spicata L.
Xiphinema americanum	Mesembryanthemum sp. L.
Xiphinema americanum	Mespilus sp. L.
Xiphinema americanum	Morus sp. L.
Xiphinema americanum	Musa sp. L.
Xiphinema americanum	Muscadinia rotundifolia Michx.
Xiphinema americanum	Nerium oleander L.
Xiphinema americanum	Nicotiana sp. L.
Xiphinema americanum	Nicotiana tabacum L.
Xiphinema americanum	Olea europaea L.
Xiphinema americanum	Oryza sativa L.
Xiphinema americanum	Paeonia sp. L.
Xiphinema americanum	Palmaceae sp.
Xiphinema americanum	Panicum ramosum L.
Xiphinema americanum	Panicum virgatum L.
Xiphinema americanum	Pascopyrum smithii
Xiphinema americanum	Paspalum notatum Flugge.
Xiphinema americanum	Passiflora sp. L.
Xiphinema americanum	Pelargonium sp. L'Her.
Xiphinema americanum	Pernettya sp. Gaud.-Beaup.
Xiphinema americanum	Persea americana Mill.
Xiphinema americanum	Phaseolus limensis Macf.
Xiphinema americanum	Phaseolus sp. L.
Xiphinema americanum	Phaseolus vulgaris L.
Xiphinema americanum	Philodendron selloum
Xiphinema americanum	Philodendron sp. Schott.
Xiphinema americanum	Picea glauca Voss
Xiphinema americanum	Picea pungens Engelm.
Xiphinema americanum	Pinus cubensis
Xiphinema americanum	Pinus edulis Engelm.
Xiphinema americanum	Pinus sp. L.
Xiphinema americanum	Pinus strobus L.
Xiphinema americanum	Pinus taeda L.
Xiphinema americanum	Pistacia vera L.
Xiphinema americanum	Plantago lanceolata L.
Xiphinema americanum	Platanus sp. L.
Xiphinema americanum	Polypodiaceae sp.
Xiphinema americanum	Populus sp. L.
Xiphinema americanum	Potentilla canadensis L.
Xiphinema americanum	Prunus armeniaca L.
Xiphinema americanum	Prunus avium L.
Xiphinema americanum	Prunus cerasus L.
Xiphinema americanum	Prunus domestica L.
Xiphinema americanum	Prunus dulcis D.A. Webb
Xiphinema americanum	Prunus persica C.K. Schneid.
Xiphinema americanum	Prunus serotina
Xiphinema americanum	Prunus sp. L.
Xiphinema americanum	Pseudotsuga menziesii Franco
Xiphinema americanum	Psidium guajava L.
Xiphinema americanum	Punica granatum L.
Xiphinema americanum	Pyracantha sp. M. J. Roem.
Xiphinema americanum	Pyrus communis L.
Xiphinema americanum	Quercus laurifolia Michx.
Xiphinema americanum	Quercus rubra L.
Xiphinema americanum	Quercus sp. L.
Xiphinema americanum	Quercus velutina Lam.
Xiphinema americanum	Rhododendron sp. L.
Xiphinema americanum	Ribes sp. L.
Xiphinema americanum	Ricinus communis L.
Xiphinema americanum	Rosa sp. L.
Xiphinema americanum	Rubus allegheniensis Porter
Xiphinema americanum	Rubus idaeus L.
Xiphinema americanum	Rubus longanobaccus
Xiphinema americanum	Rubus sp.
Xiphinema americanum	Rubus ursinus Cham & Schlechtend
Xiphinema americanum	Saccharum officinarum L.
Xiphinema americanum	Salix sp. L.
Xiphinema americanum	Salvia apiana
Xiphinema americanum	Salvia sp. L.
Xiphinema americanum	Schinus molle L.
Xiphinema americanum	Schinus polygamus Cabr.
Xiphinema americanum	Sequoia sempervirens Endl.
Xiphinema americanum	Sequoia sp. Endl.
Xiphinema americanum	Solanum lycopersicum L.
Xiphinema americanum	Solanum tuberosum L.
Xiphinema americanum	Sorghum bicolor Moench.
Xiphinema americanum	Sorghum halepense Pers.
Xiphinema americanum	Sorghum vulgare Pers.
Xiphinema americanum	Strelitzia nicolai Regel & Korn
Xiphinema americanum	Strelitzia sp. Ait.
Xiphinema americanum	Syringa sp. L.
Xiphinema americanum	Syringa vulgaris L.
Xiphinema americanum	Tagetes minuta L.
Xiphinema americanum	Taraxacum officinale Weber
Xiphinema americanum	Taxus canadensis
Xiphinema americanum	Taxus sp. L.
Xiphinema americanum	Thinopyrum intermedium
Xiphinema americanum	Thuja sp. L.
Xiphinema americanum	Toxicodendron radicans (L.) Kuntze; Rhus radicans L.
Xiphinema americanum	Trifolium pratense L.
Xiphinema americanum	Trifolium repens L.
Xiphinema americanum	Triticum aestivum L.
Xiphinema americanum	Ulmus americana L.
Xiphinema americanum	Ulmus parvifolia Jacq.
Xiphinema americanum	Ulmus pumila L.
Xiphinema americanum	Ulmus sp. L.
Xiphinema americanum	Umbellularia californica Nutt.
