NgenusNspec	PgenusPspec
Paratrichodorus minor	Zea mays L.
Paratrichodorus minor	Abelmoschus esculentus Moench.
Paratrichodorus minor	Acanthus sp. L.
Paratrichodorus minor	Acer rubrum L.
Paratrichodorus minor	Acer sp. L.
Paratrichodorus minor	Actinidia chinensis Planch.
Paratrichodorus minor	Aeschynomene americana Micheli
Paratrichodorus minor	Agrostis sp. L.
Paratrichodorus minor	Agrostis stolonifera L.
Paratrichodorus minor	Allium cepa L.
Paratrichodorus minor	Anethum graveolens L.
Paratrichodorus minor	Antirrhinum sp. L.
Paratrichodorus minor	Apium graveolens Pers.
Paratrichodorus minor	Arachis hypogaea L.
Paratrichodorus minor	Asparagus officinalis L.
Paratrichodorus minor	Avena sativa L.
Paratrichodorus minor	Bambusa sp. Schreber.
Paratrichodorus minor	Beta vulgaris L.
Paratrichodorus minor	Brassica juncea Coss.
Paratrichodorus minor	Brassica napus L.
Paratrichodorus minor	Brassica oleracea Mill.
Paratrichodorus minor	Brassica rapa L.
Paratrichodorus minor	Brassica sp.
Paratrichodorus minor	Bromus inermis Leyss.
Paratrichodorus minor	Buxus sempervirens L.
Paratrichodorus minor	Cactaceae sp. Juss.
Paratrichodorus minor	Caesalpinia gilliesii Benth.
Paratrichodorus minor	Camellia sp. L.
Paratrichodorus minor	Capsicum frutescens L.
Paratrichodorus minor	Cassia sp. L.
Paratrichodorus minor	Chrysanthemum X morifolium Ramat.
Paratrichodorus minor	Cichorium endivia L.
Paratrichodorus minor	Citrus sinensis (L.) Osbeck
Paratrichodorus minor	Citrus sp.
Paratrichodorus minor	Citrus X paradisi
Paratrichodorus minor	Coleus sp. Lour.
Paratrichodorus minor	Cotoneaster sp. Medicus
Paratrichodorus minor	Crotalaria spectabilis Roth
Paratrichodorus minor	Cucumis melo Naud.
Paratrichodorus minor	Cucumis sativus L.
Paratrichodorus minor	Cucurbita pepo L.
Paratrichodorus minor	Cynara scolymus L.
Paratrichodorus minor	Cynodon dactylon Pers.
Paratrichodorus minor	Cynodon dactylon Pers. X C. transvaalensis
Paratrichodorus minor	Dactylis glomerata L.
Paratrichodorus minor	Daucus carota L.
Paratrichodorus minor	Desmodium tortuosum DC.
Paratrichodorus minor	Digitaria decumbens Stent.
