Botryosphaeria dothidea
Diplodia corticola
Diplodia mutila 
Diplodia seriata 
Dothiorella iberica
Dothiorella americana 
Guignardia bidwellii 
Lasiodiplodia crassispora 
Lasiodiplodia missouriana
Lasiodiplodia theobromae 
Lasiodiplodia viticola 
Neofusicoccum australe 
Neofusicoccum luteum
Neofusicoccum macroclavatum 
Neofusicoccum mediterraneum
Neofusicoccum parvum
Neofusicoccum ribis
Neofusicoccum viticlavatum
Neofusicoccum vitifusiforme
Phaeobotryosphaeria porosa
Spencermartinsia viticola
